category,item,js_policy,wasm_policy,handler,reason,source_parser,source_mir,source_x64_mir,source_runtime,source_tests
builtin_functions,ABS,native_js_math,native_wasm_or_host,ux.math,math_builtin,implemented,missing,diagnostic_only,diagnostic_only,implemented
builtin_functions,ABSTRACT,js_object_model,host_object_handle,ux.oop,oop_builtin,implemented,missing,missing,diagnostic_only,implemented
builtin_functions,ADD,diagnostic_surface_entry,diagnostic_surface_entry,ux.diag,matrix_missing_or_doc_entry,diagnostic_only,partial,diagnostic_only,diagnostic_only,implemented
builtin_functions,AND,host_runtime_dispatch,host_import_if_called,ux.callBuiltin,generic_implemented_surface,implemented,partial,diagnostic_only,implemented,implemented
builtin_functions,ANY,host_runtime_dispatch,host_import_if_called,ux.callBuiltin,generic_implemented_surface,implemented,partial,missing,implemented,implemented
builtin_functions,API,bridge_only,host_import,ux.ffi,ffi_builtin,implemented,diagnostic_only,missing,diagnostic_only,implemented
builtin_functions,APPEND,browser_file_host,host_import,ux.file,file_builtin,missing,missing,missing,implemented,implemented
builtin_functions,AS,host_runtime_dispatch,host_import_if_called,ux.callBuiltin,generic_implemented_surface,implemented,partial,diagnostic_only,implemented,implemented
builtin_functions,ASC,native_js_string,host_string_import,ux.string,string_builtin,implemented,missing,diagnostic_only,implemented,implemented
builtin_functions,ASSERT,js_exception_model,host_or_exception_proposal,ux.errors,error_builtin,implemented,diagnostic_only,diagnostic_only,partial,implemented
builtin_functions,ASSERT_STMT,host_runtime_dispatch,host_import_if_called,ux.callBuiltin,generic_implemented_surface,implemented,diagnostic_only,missing,partial,partial
builtin_functions,ASSIGN_STMT,host_runtime_dispatch,host_import_if_called,ux.callBuiltin,generic_implemented_surface,implemented,diagnostic_only,missing,diagnostic_only,missing
builtin_functions,ATN,native_js_math,native_wasm_or_host,ux.math,math_builtin,implemented,diagnostic_only,missing,diagnostic_only,implemented
builtin_functions,BALL,external_runtime_decimal,host_import,ux.highPrecision,high_precision_builtin,implemented,missing,missing,implemented,implemented
builtin_functions,BAND,diagnostic_surface_entry,diagnostic_surface_entry,ux.diag,matrix_missing_or_doc_entry,missing,diagnostic_only,missing,diagnostic_only,missing
builtin_functions,BIGD,external_runtime_decimal,host_import,ux.highPrecision,high_precision_builtin,implemented,missing,missing,implemented,implemented
builtin_functions,BIGF,external_runtime_decimal,host_import,ux.highPrecision,high_precision_builtin,implemented,missing,missing,implemented,implemented
builtin_functions,BINARY,browser_file_host,host_import,ux.file,file_builtin,implemented,diagnostic_only,missing,partial,implemented
builtin_functions,BLOCK,host_runtime_dispatch,host_import_if_called,ux.callBuiltin,generic_implemented_surface,implemented,partial,diagnostic_only,diagnostic_only,implemented
builtin_functions,BOR,diagnostic_surface_entry,diagnostic_surface_entry,ux.diag,matrix_missing_or_doc_entry,missing,diagnostic_only,missing,diagnostic_only,missing
builtin_functions,BXOR,diagnostic_surface_entry,diagnostic_surface_entry,ux.diag,matrix_missing_or_doc_entry,missing,diagnostic_only,missing,diagnostic_only,missing
builtin_functions,BYREF,host_runtime_dispatch,host_import_if_called,ux.callBuiltin,generic_implemented_surface,implemented,partial,diagnostic_only,implemented,implemented
builtin_functions,BYTE,host_runtime_dispatch,host_import_if_called,ux.callBuiltin,generic_implemented_surface,implemented,missing,missing,implemented,implemented
builtin_functions,BYVAL,host_runtime_dispatch,host_import_if_called,ux.callBuiltin,generic_implemented_surface,implemented,partial,missing,implemented,implemented
builtin_functions,CALL,bridge_only,host_import,ux.ffi,ffi_builtin,implemented,partial,diagnostic_only,partial,implemented
builtin_functions,CALL_DLL,diagnostic_surface_entry,diagnostic_surface_entry,ux.diag,matrix_missing_or_doc_entry,missing,missing,diagnostic_only,missing,partial
builtin_functions,CALL_EXPR,host_runtime_dispatch,host_import_if_called,ux.callBuiltin,generic_implemented_surface,implemented,diagnostic_only,missing,implemented,implemented
builtin_functions,CALL_STMT,host_runtime_dispatch,host_import_if_called,ux.callBuiltin,generic_implemented_surface,implemented,diagnostic_only,missing,diagnostic_only,implemented
builtin_functions,CAST,diagnostic_surface_entry,diagnostic_surface_entry,ux.diag,matrix_missing_or_doc_entry,missing,missing,diagnostic_only,missing,missing
builtin_functions,CDBL,native_js_math,native_wasm_or_host,ux.math,math_builtin,implemented,diagnostic_only,missing,implemented,partial
builtin_functions,CDECL,bridge_only,host_import,ux.ffi,ffi_builtin,implemented,partial,missing,implemented,implemented
builtin_functions,CG,diagnostic_surface_entry,diagnostic_surface_entry,ux.diag,matrix_missing_or_doc_entry,missing,missing,diagnostic_only,missing,missing
builtin_functions,CHR,native_js_string,host_string_import,ux.string,string_builtin,implemented,diagnostic_only,diagnostic_only,implemented,implemented
builtin_functions,CINT,native_js_math,native_wasm_or_host,ux.math,math_builtin,implemented,missing,diagnostic_only,implemented,implemented
builtin_functions,CLASS,js_object_model,host_object_handle,ux.oop,oop_builtin,implemented,diagnostic_only,missing,diagnostic_only,implemented
builtin_functions,CLASS_ACCESS,diagnostic_surface_entry,diagnostic_surface_entry,ux.diag,matrix_missing_or_doc_entry,partial,missing,missing,diagnostic_only,partial
