keyword,token,category,lexer,parser,ast,semantic,hir,mir,interpreter_ast,interpreter_mir,x64_codegen_ast,x64_codegen_mir,x86_codegen,runtime,ffi,tests,docs
ABS,,unknown,partial,partial,missing,partial,missing,missing,diagnostic_only,missing,diagnostic_only,diagnostic_only,missing,diagnostic_only,missing,implemented,diagnostic_only
ABSTRACT,,unknown,partial,partial,missing,partial,missing,missing,diagnostic_only,missing,missing,missing,missing,diagnostic_only,missing,implemented,missing
ALIAS,,unknown,partial,implemented,missing,partial,missing,partial,partial,missing,missing,missing,missing,partial,missing,implemented,missing
AND,,unknown,implemented,implemented,implemented,implemented,partial,partial,implemented,diagnostic_only,implemented,diagnostic_only,implemented,implemented,implemented,implemented,diagnostic_only
ARRAY,,unknown,partial,implemented,missing,implemented,partial,partial,implemented,diagnostic_only,missing,diagnostic_only,missing,implemented,missing,implemented,diagnostic_only
AS,,unknown,implemented,implemented,implemented,implemented,partial,partial,implemented,diagnostic_only,implemented,diagnostic_only,implemented,implemented,implemented,implemented,partial
ASC,,unknown,implemented,implemented,implemented,implemented,missing,missing,implemented,diagnostic_only,diagnostic_only,diagnostic_only,partial,implemented,implemented,implemented,diagnostic_only
ASSERT,,unknown,partial,implemented,missing,implemented,missing,diagnostic_only,partial,missing,missing,diagnostic_only,missing,partial,missing,implemented,missing
ATN,,unknown,partial,partial,missing,partial,missing,diagnostic_only,diagnostic_only,missing,diagnostic_only,missing,missing,diagnostic_only,missing,implemented,missing
BALL,,unknown,partial,implemented,missing,implemented,missing,missing,missing,missing,missing,missing,missing,diagnostic_only,missing,implemented,implemented
BIGD,,unknown,partial,implemented,missing,implemented,missing,missing,missing,missing,missing,missing,missing,diagnostic_only,missing,implemented,implemented
BIGF,,unknown,partial,implemented,missing,implemented,missing,missing,missing,missing,missing,missing,missing,diagnostic_only,missing,implemented,implemented
BOOLEAN,,unknown,partial,implemented,partial,implemented,missing,missing,missing,diagnostic_only,diagnostic_only,missing,missing,missing,missing,implemented,missing
BYREF,,unknown,implemented,implemented,implemented,implemented,partial,partial,implemented,diagnostic_only,implemented,diagnostic_only,implemented,implemented,implemented,implemented,missing
BYTE,,unknown,partial,partial,missing,partial,missing,missing,partial,diagnostic_only,partial,missing,missing,partial,missing,implemented,partial
BYVAL,,unknown,implemented,implemented,implemented,implemented,partial,partial,implemented,diagnostic_only,implemented,missing,implemented,implemented,implemented,implemented,missing
CALL,,unknown,partial,implemented,missing,implemented,missing,partial,partial,diagnostic_only,implemented,diagnostic_only,partial,partial,implemented,implemented,diagnostic_only
CASE,,unknown,implemented,implemented,implemented,implemented,partial,diagnostic_only,implemented,diagnostic_only,implemented,diagnostic_only,partial,implemented,implemented,implemented,missing
CATCH,,unknown,partial,partial,missing,partial,missing,missing,missing,missing,missing,diagnostic_only,missing,missing,missing,implemented,missing
CDBL,,unknown,partial,partial,missing,implemented,missing,diagnostic_only,implemented,diagnostic_only,diagnostic_only,missing,missing,implemented,missing,partial,missing
CDECL,,unknown,partial,implemented,missing,partial,missing,partial,partial,diagnostic_only,diagnostic_only,missing,partial,partial,implemented,implemented,missing
CHR,,unknown,implemented,partial,implemented,implemented,partial,diagnostic_only,partial,missing,diagnostic_only,diagnostic_only,implemented,implemented,implemented,implemented,missing
CINT,,unknown,partial,partial,missing,implemented,missing,missing,implemented,diagnostic_only,partial,diagnostic_only,missing,implemented,missing,implemented,diagnostic_only
CLASS,,unknown,partial,implemented,missing,implemented,partial,diagnostic_only,diagnostic_only,diagnostic_only,partial,missing,missing,diagnostic_only,missing,implemented,diagnostic_only
CLNG,,unknown,partial,partial,missing,implemented,missing,missing,partial,diagnostic_only,diagnostic_only,diagnostic_only,missing,partial,missing,diagnostic_only,diagnostic_only
CLOSE,,unknown,implemented,implemented,implemented,implemented,partial,diagnostic_only,implemented,missing,partial,diagnostic_only,partial,implemented,implemented,implemented,missing
CLS,,unknown,partial,implemented,missing,partial,missing,diagnostic_only,missing,missing,partial,diagnostic_only,missing,partial,missing,implemented,diagnostic_only
CODEPTR,,unknown,partial,implemented,missing,missing,missing,missing,diagnostic_only,missing,missing,missing,missing,diagnostic_only,missing,implemented,missing
COLOR,,unknown,partial,implemented,missing,partial,missing,diagnostic_only,partial,missing,partial,diagnostic_only,missing,implemented,missing,implemented,diagnostic_only
CONST,,unknown,partial,implemented,implemented,implemented,partial,partial,diagnostic_only,diagnostic_only,diagnostic_only,diagnostic_only,missing,partial,partial,implemented,diagnostic_only
CONSTRUCTOR,,unknown,partial,diagnostic_only,partial,diagnostic_only,missing,missing,diagnostic_only,diagnostic_only,diagnostic_only,missing,missing,diagnostic_only,missing,implemented,partial
COS,,unknown,partial,partial,missing,partial,missing,diagnostic_only,diagnostic_only,missing,partial,missing,missing,diagnostic_only,missing,implemented,missing
CSNG,,unknown,partial,partial,missing,partial,missing,diagnostic_only,diagnostic_only,missing,diagnostic_only,missing,missing,diagnostic_only,missing,partial,missing
DEC,,unknown,partial,implemented,missing,missing,missing,missing,diagnostic_only,missing,partial,missing,missing,diagnostic_only,missing,implemented,missing
DECLARE,,unknown,implemented,implemented,missing,implemented,missing,partial,partial,diagnostic_only,diagnostic_only,missing,missing,implemented,missing,implemented,missing
DECORATOR,,unknown,partial,diagnostic_only,missing,partial,missing,missing,missing,missing,missing,missing,missing,diagnostic_only,missing,implemented,missing
DEFBYT,,unknown,partial,partial,missing,diagnostic_only,missing,missing,diagnostic_only,missing,missing,missing,missing,diagnostic_only,missing,missing,missing
DEFDBL,,unknown,partial,partial,missing,diagnostic_only,missing,missing,diagnostic_only,missing,missing,missing,missing,diagnostic_only,missing,missing,missing
DEFEXT,,unknown,partial,partial,missing,diagnostic_only,missing,missing,diagnostic_only,missing,missing,missing,missing,diagnostic_only,missing,missing,missing
DEFINT,,unknown,partial,partial,missing,diagnostic_only,missing,missing,diagnostic_only,missing,missing,missing,missing,diagnostic_only,missing,implemented,missing
DEFLNG,,unknown,partial,partial,missing,diagnostic_only,missing,missing,diagnostic_only,missing,missing,missing,missing,diagnostic_only,missing,missing,missing
DEFSNG,,unknown,partial,partial,missing,diagnostic_only,missing,missing,diagnostic_only,missing,missing,missing,missing,diagnostic_only,missing,missing,missing
DEFSTR,,unknown,partial,partial,missing,diagnostic_only,missing,missing,diagnostic_only,missing,missing,missing,missing,diagnostic_only,missing,missing,missing
DELETE,,unknown,partial,implemented,missing,partial,missing,missing,diagnostic_only,missing,diagnostic_only,diagnostic_only,missing,diagnostic_only,missing,implemented,missing
DESTRUCTOR,,unknown,partial,diagnostic_only,partial,missing,missing,missing,diagnostic_only,missing,diagnostic_only,missing,missing,diagnostic_only,missing,implemented,missing
DICT,,unknown,partial,partial,missing,implemented,partial,missing,implemented,missing,missing,missing,missing,implemented,missing,implemented,missing
DIM,,unknown,implemented,implemented,implemented,implemented,partial,partial,implemented,diagnostic_only,implemented,diagnostic_only,implemented,implemented,implemented,implemented,partial
DO,,unknown,implemented,implemented,implemented,implemented,partial,diagnostic_only,implemented,diagnostic_only,implemented,diagnostic_only,implemented,implemented,implemented,implemented,missing
EACH,,unknown,partial,implemented,missing,partial,missing,missing,partial,missing,diagnostic_only,missing,missing,partial,missing,implemented,missing
ELSE,,unknown,implemented,implemented,implemented,implemented,partial,diagnostic_only,implemented,diagnostic_only,implemented,diagnostic_only,implemented,implemented,implemented,implemented,missing
ELSEIF,,unknown,implemented,implemented,partial,implemented,missing,diagnostic_only,implemented,diagnostic_only,implemented,missing,missing,implemented,partial,implemented,missing
END,,unknown,implemented,implemented,implemented,implemented,partial,partial,implemented,diagnostic_only,implemented,diagnostic_only,implemented,implemented,implemented,implemented,partial
EOF,,unknown,implemented,implemented,missing,missing,missing,missing,partial,missing,diagnostic_only,missing,missing,implemented,partial,implemented,missing
EVENT,,unknown,partial,implemented,missing,implemented,missing,missing,implemented,diagnostic_only,partial,diagnostic_only,missing,implemented,missing,implemented,partial
EXIT,,unknown,implemented,implemented,implemented,implemented,partial,partial,implemented,missing,implemented,missing,partial,implemented,partial,implemented,missing
EXP,,unknown,partial,partial,missing,partial,missing,diagnostic_only,diagnostic_only,missing,partial,missing,missing,diagnostic_only,missing,implemented,missing
F128,,unknown,partial,partial,missing,implemented,missing,missing,missing,missing,diagnostic_only,missing,missing,diagnostic_only,missing,implemented,implemented
F32,,unknown,partial,implemented,missing,implemented,missing,diagnostic_only,diagnostic_only,missing,partial,missing,missing,diagnostic_only,missing,implemented,partial
F64,,unknown,partial,implemented,missing,implemented,missing,diagnostic_only,partial,diagnostic_only,partial,missing,missing,partial,missing,implemented,partial
F80,,unknown,partial,implemented,missing,implemented,missing,diagnostic_only,diagnostic_only,missing,diagnostic_only,missing,missing,diagnostic_only,missing,implemented,implemented
FINAL,,unknown,partial,partial,missing,partial,missing,missing,missing,missing,missing,missing,missing,partial,missing,implemented,missing
FINALLY,,unknown,partial,partial,missing,partial,missing,missing,missing,missing,missing,diagnostic_only,missing,missing,missing,implemented,missing
FIX,,unknown,partial,partial,missing,partial,missing,missing,diagnostic_only,missing,diagnostic_only,diagnostic_only,missing,diagnostic_only,missing,partial,diagnostic_only
FOR,,unknown,implemented,implemented,implemented,implemented,partial,partial,implemented,diagnostic_only,implemented,diagnostic_only,implemented,implemented,implemented,implemented,diagnostic_only
FRIEND,,unknown,partial,partial,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,implemented,missing
FUNCTION,,unknown,implemented,implemented,implemented,implemented,partial,partial,implemented,diagnostic_only,implemented,diagnostic_only,implemented,implemented,implemented,implemented,diagnostic_only
GET,,unknown,partial,implemented,missing,implemented,missing,diagnostic_only,partial,missing,partial,missing,missing,implemented,missing,implemented,missing
GETKEY,,unknown,partial,partial,missing,partial,missing,missing,diagnostic_only,missing,diagnostic_only,diagnostic_only,missing,diagnostic_only,missing,diagnostic_only,diagnostic_only
GOSUB,,unknown,partial,implemented,missing,missing,missing,missing,diagnostic_only,missing,diagnostic_only,missing,missing,diagnostic_only,missing,implemented,missing
GOTO,,unknown,partial,implemented,missing,implemented,missing,missing,partial,missing,diagnostic_only,missing,missing,implemented,missing,implemented,missing
I16,,unknown,partial,implemented,missing,implemented,missing,missing,diagnostic_only,missing,diagnostic_only,missing,missing,diagnostic_only,missing,implemented,missing
I32,,unknown,partial,implemented,missing,implemented,missing,diagnostic_only,partial,diagnostic_only,diagnostic_only,missing,missing,partial,missing,implemented,missing
I64,,unknown,partial,implemented,missing,implemented,missing,missing,diagnostic_only,missing,diagnostic_only,missing,missing,diagnostic_only,missing,implemented,missing
I8,,unknown,partial,implemented,missing,implemented,missing,missing,diagnostic_only,missing,diagnostic_only,missing,missing,diagnostic_only,missing,implemented,missing
IF,,unknown,implemented,implemented,implemented,implemented,partial,partial,implemented,diagnostic_only,implemented,diagnostic_only,implemented,implemented,implemented,implemented,diagnostic_only
IMMUTABLE,,unknown,partial,diagnostic_only,missing,diagnostic_only,missing,diagnostic_only,diagnostic_only,missing,missing,missing,missing,diagnostic_only,missing,implemented,missing
IMPLEMENTS,,unknown,partial,diagnostic_only,missing,partial,missing,missing,missing,missing,missing,missing,missing,missing,missing,implemented,missing
IMPORT,,unknown,partial,implemented,missing,partial,missing,missing,missing,missing,missing,diagnostic_only,missing,missing,partial,implemented,diagnostic_only
IN,,unknown,partial,implemented,partial,implemented,missing,partial,partial,missing,partial,diagnostic_only,missing,implemented,implemented,implemented,diagnostic_only
INC,,unknown,partial,implemented,missing,missing,missing,missing,diagnostic_only,missing,partial,missing,missing,diagnostic_only,missing,implemented,missing
INCLUDE,,unknown,implemented,implemented,partial,implemented,missing,diagnostic_only,partial,diagnostic_only,diagnostic_only,missing,implemented,partial,implemented,implemented,missing
INKEY,,unknown,partial,partial,missing,partial,missing,missing,diagnostic_only,missing,diagnostic_only,diagnostic_only,missing,diagnostic_only,missing,diagnostic_only,diagnostic_only
INLINE,,unknown,partial,implemented,missing,missing,missing,missing,missing,missing,missing,diagnostic_only,missing,missing,partial,implemented,partial
INPUT,,unknown,implemented,implemented,missing,implemented,missing,diagnostic_only,implemented,diagnostic_only,partial,diagnostic_only,missing,implemented,partial,implemented,diagnostic_only
INT,,unknown,partial,partial,missing,partial,missing,diagnostic_only,diagnostic_only,missing,partial,diagnostic_only,missing,diagnostic_only,missing,implemented,diagnostic_only
INTERFACE,,unknown,partial,partial,missing,implemented,partial,missing,missing,missing,partial,missing,missing,missing,missing,implemented,missing
IS,,unknown,partial,implemented,missing,implemented,missing,partial,implemented,diagnostic_only,partial,diagnostic_only,implemented,implemented,implemented,implemented,diagnostic_only
KEYWORD,,unknown,implemented,implemented,missing,missing,missing,missing,partial,missing,missing,diagnostic_only,partial,partial,implemented,implemented,implemented
LCASE,,unknown,partial,implemented,missing,partial,missing,missing,implemented,missing,diagnostic_only,missing,missing,implemented,partial,implemented,missing
LEN,,unknown,implemented,implemented,implemented,implemented,partial,diagnostic_only,implemented,diagnostic_only,partial,diagnostic_only,partial,implemented,implemented,implemented,diagnostic_only
LIST,,unknown,partial,implemented,partial,implemented,partial,missing,implemented,missing,missing,missing,missing,implemented,missing,implemented,partial
LOCATE,,unknown,partial,implemented,missing,partial,missing,diagnostic_only,partial,missing,partial,diagnostic_only,missing,implemented,missing,implemented,diagnostic_only
LOF,,unknown,partial,implemented,missing,missing,missing,missing,diagnostic_only,missing,diagnostic_only,missing,missing,diagnostic_only,missing,partial,missing
LOG,,unknown,partial,partial,missing,partial,missing,diagnostic_only,diagnostic_only,missing,partial,missing,missing,partial,missing,implemented,diagnostic_only
LOOP,,unknown,implemented,implemented,implemented,implemented,partial,diagnostic_only,implemented,diagnostic_only,implemented,missing,implemented,implemented,implemented,implemented,missing
LPTR,,unknown,partial,implemented,missing,missing,missing,missing,diagnostic_only,missing,missing,missing,missing,diagnostic_only,missing,implemented,missing
LTRIM,,unknown,implemented,implemented,implemented,implemented,missing,diagnostic_only,implemented,diagnostic_only,implemented,missing,partial,implemented,implemented,implemented,missing
MAGIC,,unknown,partial,diagnostic_only,missing,partial,missing,missing,missing,missing,missing,missing,missing,missing,missing,partial,missing
MAIN,,unknown,partial,implemented,missing,diagnostic_only,missing,diagnostic_only,missing,missing,diagnostic_only,diagnostic_only,missing,missing,missing,implemented,missing
MEMCOPYB,,unknown,partial,implemented,missing,partial,missing,missing,diagnostic_only,missing,diagnostic_only,missing,missing,diagnostic_only,missing,implemented,missing
MEMCOPYD,,unknown,partial,implemented,missing,partial,missing,missing,diagnostic_only,missing,diagnostic_only,missing,missing,diagnostic_only,missing,implemented,missing
MEMCOPYW,,unknown,partial,implemented,missing,partial,missing,missing,diagnostic_only,missing,diagnostic_only,missing,missing,diagnostic_only,missing,implemented,missing
MEMFILLB,,unknown,partial,implemented,missing,partial,missing,missing,diagnostic_only,missing,diagnostic_only,missing,missing,diagnostic_only,missing,implemented,missing
MEMFILLD,,unknown,partial,implemented,missing,partial,missing,missing,diagnostic_only,missing,diagnostic_only,missing,missing,diagnostic_only,missing,implemented,missing
MEMFILLW,,unknown,partial,implemented,missing,partial,missing,missing,diagnostic_only,missing,diagnostic_only,missing,missing,diagnostic_only,missing,implemented,missing
METHOD,,unknown,partial,implemented,missing,partial,missing,diagnostic_only,diagnostic_only,missing,diagnostic_only,missing,missing,diagnostic_only,missing,implemented,missing
MID,,unknown,implemented,implemented,implemented,implemented,partial,diagnostic_only,implemented,diagnostic_only,partial,missing,partial,implemented,implemented,implemented,missing
MIXIN,,unknown,partial,diagnostic_only,missing,partial,missing,missing,missing,missing,missing,missing,missing,diagnostic_only,missing,implemented,missing
MOD,,unknown,partial,partial,missing,implemented,missing,partial,diagnostic_only,missing,partial,diagnostic_only,missing,partial,missing,implemented,diagnostic_only
