category,item,lexer,parser,ast,semantic,hir,mir,ast_interpreter,mir_interpreter,x64_ast,x64_mir,runtime,tests,docs
builtin_functions,ABS,partial,implemented,missing,partial,missing,missing,diagnostic_only,missing,diagnostic_only,diagnostic_only,diagnostic_only,implemented,diagnostic_only
builtin_functions,ABSTRACT,partial,implemented,missing,partial,missing,missing,missing,missing,missing,missing,diagnostic_only,implemented,missing
builtin_functions,ADD,missing,diagnostic_only,missing,implemented,missing,partial,diagnostic_only,missing,diagnostic_only,diagnostic_only,diagnostic_only,implemented,diagnostic_only
builtin_functions,AND,implemented,implemented,implemented,implemented,partial,partial,diagnostic_only,diagnostic_only,diagnostic_only,diagnostic_only,implemented,implemented,diagnostic_only
builtin_functions,ANY,partial,implemented,implemented,implemented,partial,partial,diagnostic_only,diagnostic_only,diagnostic_only,missing,implemented,implemented,missing
builtin_functions,API,missing,implemented,implemented,partial,missing,diagnostic_only,diagnostic_only,missing,missing,missing,diagnostic_only,implemented,partial
builtin_functions,APPEND,missing,missing,missing,partial,missing,missing,missing,missing,missing,missing,implemented,implemented,missing
builtin_functions,AS,implemented,implemented,implemented,implemented,partial,partial,diagnostic_only,diagnostic_only,diagnostic_only,diagnostic_only,implemented,implemented,partial
builtin_functions,ASC,implemented,implemented,implemented,implemented,missing,missing,diagnostic_only,diagnostic_only,diagnostic_only,diagnostic_only,implemented,implemented,diagnostic_only
builtin_functions,ASSERT,partial,implemented,missing,implemented,missing,diagnostic_only,missing,missing,missing,diagnostic_only,partial,implemented,missing
builtin_functions,ASSERT_STMT,missing,implemented,partial,partial,missing,diagnostic_only,missing,missing,missing,missing,partial,partial,missing
builtin_functions,ASSIGN_STMT,missing,implemented,partial,partial,missing,diagnostic_only,missing,missing,diagnostic_only,missing,diagnostic_only,missing,missing
builtin_functions,ATN,partial,implemented,missing,partial,missing,diagnostic_only,diagnostic_only,missing,diagnostic_only,missing,diagnostic_only,implemented,missing
builtin_functions,BALL,partial,implemented,missing,implemented,missing,missing,missing,missing,missing,missing,implemented,implemented,implemented
