ast_node,surface_name,semantic_status,type_status,layout_status,lowering_handler,lowering_decision,mir_opcode_sequence,requires_runtime,requires_external,target_x64,target_js,target_wasm,verify_rule,status,required_action
ALIAS_STMT,ALIAS_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
ALIAS_TARGET,ALIAS_TARGET,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_MISSING,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,BROKEN,ADD_LOWERING
ASSERT_STMT,ASSERT_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
ASSIGN_STMT,ASSIGN_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
BINARY,BINARY,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_MISSING,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,BROKEN,ADD_LOWERING
BLOCK,BLOCK,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_MISSING,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,BROKEN,ADD_LOWERING
BOOLEAN,BOOLEAN,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_MISSING,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,BROKEN,ADD_LOWERING
CALL_EXPR,CALL_EXPR,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
CALL_STMT,CALL_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
CASE_BLOCK,CASE_BLOCK,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_MISSING,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,BROKEN,ADD_LOWERING
CASE_ELSE,CASE_ELSE,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_MISSING,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,BROKEN,ADD_LOWERING
CASE_IS_VALUE,CASE_IS_VALUE,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_MISSING,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,BROKEN,ADD_LOWERING
CAST_EXPR,CAST_EXPR,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
CATCH_PART,CATCH_PART,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_MISSING,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,BROKEN,ADD_LOWERING
CLASS_ACCESS,CLASS_ACCESS,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_MISSING,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,BROKEN,ADD_LOWERING
CLASS_BASE_REF,CLASS_BASE_REF,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_MISSING,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,BROKEN,ADD_LOWERING
CLASS_CONSTRUCTOR_DECL,CLASS_CONSTRUCTOR_DECL,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_COMPILE_TIME_ONLY,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
CLASS_DECORATOR_REF,CLASS_DECORATOR_REF,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_MISSING,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,BROKEN,ADD_LOWERING
CLASS_DESTRUCTOR_DECL,CLASS_DESTRUCTOR_DECL,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_COMPILE_TIME_ONLY,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
CLASS_FIELD,CLASS_FIELD,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_MISSING,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,BROKEN,ADD_LOWERING
CLASS_FIELD_FLAG,CLASS_FIELD_FLAG,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_MISSING,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,BROKEN,ADD_LOWERING
CLASS_FLAG,CLASS_FLAG,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_MISSING,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,BROKEN,ADD_LOWERING
CLASS_FRIEND_STMT,CLASS_FRIEND_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
CLASS_IMPLEMENTS_REF,CLASS_IMPLEMENTS_REF,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_MISSING,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,BROKEN,ADD_LOWERING
CLASS_METHOD_DECL,CLASS_METHOD_DECL,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_COMPILE_TIME_ONLY,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
CLASS_METHOD_FLAG,CLASS_METHOD_FLAG,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_MISSING,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,BROKEN,ADD_LOWERING
CLASS_MIXIN_REF,CLASS_MIXIN_REF,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_MISSING,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,BROKEN,ADD_LOWERING
CLASS_OPERATOR_DECL,CLASS_OPERATOR_DECL,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_COMPILE_TIME_ONLY,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
CLASS_PROPERTY_DECL,CLASS_PROPERTY_DECL,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_COMPILE_TIME_ONLY,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
CLASS_PROPERTY_FLAG,CLASS_PROPERTY_FLAG,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_MISSING,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,BROKEN,ADD_LOWERING
CLASS_PROPERTY_GET_STMT,CLASS_PROPERTY_GET_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
CLASS_PROPERTY_SET_STMT,CLASS_PROPERTY_SET_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
CLASS_STMT,CLASS_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
CLOSE_STMT,CLOSE_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_RUNTIME_CALL,AUTO,YES,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
CLS_STMT,CLS_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
COLOR_STMT,COLOR_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
CONST_DECL,CONST_DECL,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_COMPILE_TIME_ONLY,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
CONST_STMT,CONST_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
