"path","kind","extension","purpose_tr","canonical_status","has_delete_risk","notes"
"compiler/scripts/audit_uxb_library_bundle.bat","SCRIPT",".bat","diger","ADAY","HAYIR",""
"compiler/scripts/build_imported_library_runtimes.bat","SCRIPT",".bat","compiler_layer_audit_or_gate","ADAY","HAYIR",""
"compiler/scripts/build_uxb_main_64.bat","SCRIPT",".bat","diger","ADAY","HAYIR",""
"compiler/scripts/create_step7_release_candidate.bat","SCRIPT",".bat","diger","ADAY","HAYIR",""
"compiler/scripts/create_wasm_publish_release.bat","SCRIPT",".bat","diger","ADAY","HAYIR",""
"compiler/scripts/import_uxb_library_bundle.bat","SCRIPT",".bat","diger","ADAY","HAYIR",""
"compiler/scripts/open_latest_reports.bat","SCRIPT",".bat","diger","ADAY","HAYIR",""
"compiler/scripts/organize_artifacts.ps1","SCRIPT",".ps1","workspace_cleaning","ADAY","HAYIR",""
"compiler/scripts/run_adim04_ast_contract_gate.ps1","SCRIPT",".ps1","compiler_layer_audit_or_gate","ADAY","HAYIR",""
"compiler/scripts/run_adim07_lexer_preprocessor.ps1","SCRIPT",".ps1","compiler_layer_audit_or_gate","ADAY","HAYIR",""
"compiler/scripts/run_adim08_parser_gate.ps1","SCRIPT",".ps1","compiler_layer_audit_or_gate","ADAY","HAYIR",""
"compiler/scripts/run_adim10_semantic_step5_gate.ps1","SCRIPT",".ps1","compiler_layer_audit_or_gate","ADAY","HAYIR",""
"compiler/scripts/run_adim2_differential_gate.bat","SCRIPT",".bat","diger","ADAY","HAYIR",""
"compiler/scripts/run_adim2_toolchain_gate.bat","SCRIPT",".bat","toolchain_diagnostics","ADAY","HAYIR",""
"compiler/scripts/run_browser_from_source.bat","SCRIPT",".bat","diger","ADAY","HAYIR",""
"compiler/scripts/run_browser_hybrid_pro_smoke.bat","SCRIPT",".bat","diger","ADAY","HAYIR",""
"compiler/scripts/run_browser_hybrid_smoke.bat","SCRIPT",".bat","diger","ADAY","HAYIR",""
"compiler/scripts/run_browser_js_smoke.bat","SCRIPT",".bat","diger","ADAY","HAYIR",""
"compiler/scripts/run_browser_json_build.bat","SCRIPT",".bat","diger","ADAY","HAYIR",""
"compiler/scripts/run_browser_surface_contract.bat","SCRIPT",".bat","diger","ADAY","HAYIR",""
"compiler/scripts/run_browser_toolchain_install.bat","SCRIPT",".bat","toolchain_diagnostics","ADAY","HAYIR",""
"compiler/scripts/run_emit_js_transpiler.bat","SCRIPT",".bat","diger","ADAY","HAYIR",""
"compiler/scripts/run_emit_mir_x64_asm.bat","SCRIPT",".bat","compiler_layer_audit_or_gate","ADAY","HAYIR",""
"compiler/scripts/run_emit_wasm_backend.bat","SCRIPT",".bat","compiler_layer_audit_or_gate","ADAY","HAYIR",""
"compiler/scripts/run_emit_x64_ast_asm.bat","SCRIPT",".bat","compiler_layer_audit_or_gate","ADAY","HAYIR",""
"compiler/scripts/run_emit_x86_codegen_artifacts.bat","SCRIPT",".bat","workspace_cleaning","ADAY","HAYIR",""
"compiler/scripts/run_extfp_codegen_smoke.bat","SCRIPT",".bat","compiler_layer_audit_or_gate","ADAY","HAYIR",""
"compiler/scripts/run_full_fp_runtime_smoke.bat","SCRIPT",".bat","compiler_layer_audit_or_gate","ADAY","HAYIR",""
"compiler/scripts/run_imported_library_smokes.bat","SCRIPT",".bat","diger","ADAY","HAYIR",""
"compiler/scripts/run_keyword_layer_matrix.bat","SCRIPT",".bat","keyword_layer_matrix","ADAY","HAYIR",""
"compiler/scripts/run_language_surface_full_matrix.bat","SCRIPT",".bat","surface_lifecycle_matrix","ADAY","HAYIR",""
"compiler/scripts/run_layer_json.ps1","SCRIPT",".ps1","diger","ADAY","HAYIR",""
"compiler/scripts/run_localhost_bridge.bat","SCRIPT",".bat","diger","ADAY","HAYIR",""
"compiler/scripts/run_mir_x64_completion_smoke.bat","SCRIPT",".bat","compiler_layer_audit_or_gate","ADAY","HAYIR",""
"compiler/scripts/run_mir_x64_prompt3_smoke.bat","SCRIPT",".bat","compiler_layer_audit_or_gate","ADAY","HAYIR",""
"compiler/scripts/run_mir_x64_surface_audit.bat","SCRIPT",".bat","compiler_layer_audit_or_gate","ADAY","HAYIR",""
"compiler/scripts/run_prompt0_baseline.bat","SCRIPT",".bat","diger","ADAY","HAYIR",""
"compiler/scripts/run_stage4_apply_full_safe.bat","SCRIPT",".bat","diger","ADAY","HAYIR",""
"compiler/scripts/run_stage4_apply_move_tests.bat","SCRIPT",".bat","diger","ADAY","HAYIR",""
"compiler/scripts/run_stage4_audit.bat","SCRIPT",".bat","diger","ADAY","HAYIR",""
"compiler/scripts/run_step1_surface_gate.bat","SCRIPT",".bat","diger","ADAY","HAYIR",""
"compiler/scripts/run_step1_surface_matrix.bat","SCRIPT",".bat","surface_lifecycle_matrix","ADAY","HAYIR",""
"compiler/scripts/run_step2_ast_contract_gate.bat","SCRIPT",".bat","compiler_layer_audit_or_gate","ADAY","HAYIR",""
"compiler/scripts/run_step2_ast_contract_matrix.bat","SCRIPT",".bat","compiler_layer_audit_or_gate","ADAY","HAYIR",""
"compiler/scripts/run_step2_ast_json_smoke.bat","SCRIPT",".bat","compiler_layer_audit_or_gate","ADAY","HAYIR",""
"compiler/scripts/run_step2_mir_lowering_cli_audit.bat","SCRIPT",".bat","compiler_layer_audit_or_gate","ADAY","HAYIR",""
"compiler/scripts/run_step3_all.bat","SCRIPT",".bat","diger","ADAY","HAYIR",""
