"capability","tool_path","role_type","exists"
"fake_implemented_gate","tools/audit/uxb_no_fake_status_gate.py","canonical","EVET"
"keyword_layer_gate","tools/audit/uxb_keyword_layer_gate.py","canonical","EVET"
"keyword_layer_gate","tools/uxb_keyword_layer_decision_gate.py","fallback","EVET"
"keyword_layer_matrix","tools/audit/uxb_build_keyword_layer_matrix.py","canonical","EVET"
"keyword_layer_matrix","tools/audit/uxb_keyword_layer_matrix.py","fallback","HAYIR"
"keyword_layer_matrix","tools/uxb_keyword_layer_matrix.py","fallback","EVET"
"surface_lifecycle_matrix","tools/control/uxb_surface_lifecycle_matrix.py","canonical","EVET"
"surface_lifecycle_matrix","tools/audit/uxb_step1_surface_core.py","fallback","EVET"
"surface_lifecycle_matrix","tools/audit/uxb_build_keyword_layer_matrix.py","fallback","EVET"
"workspace_clean_guard","tools/uxb_workspace_clean_guard.py","canonical","EVET"
"workspace_clean_guard","tools/uxbc_clean_artifacts.py","fallback","EVET"
