"evidence_file","surface_name","blocker_code","recommended_step"
"src/parser/parser/parser_shared.fbs","ARRAY","BROKEN","ADD_AST_CONTRACT"
"src/parser/parser/parser_shared.fbs","ATN","BROKEN","ADD_AST_CONTRACT"
"src/parser/parser/parser_shared.fbs","BALL","BROKEN","ADD_AST_CONTRACT"
"src/parser/parser/parser_shared.fbs","BIGD","BROKEN","ADD_AST_CONTRACT"
"src/parser/parser/parser_shared.fbs","BIGF","BROKEN","ADD_AST_CONTRACT"
"src/parser/parser/parser_shared.fbs","BOOLEAN","BROKEN","ADD_AST_CONTRACT"
"src/parser/parser/parser_shared.fbs","CDBL","BROKEN","ADD_AST_CONTRACT"
"src/parser/parser/parser_shared.fbs","CINT","BROKEN","ADD_AST_CONTRACT"
"src/parser/parser/parser_shared.fbs","CLNG","BROKEN","ADD_AST_CONTRACT"
"src/parser/parser/parser_shared.fbs","CODEPTR","BROKEN","ADD_AST_CONTRACT"
"src/parser/parser/parser_shared.fbs","COS","BROKEN","ADD_AST_CONTRACT"
"src/parser/parser/parser_shared.fbs","CSNG","BROKEN","ADD_AST_CONTRACT"
"src/parser/parser/parser_shared.fbs","DICT","BROKEN","ADD_AST_CONTRACT"
"src/parser/parser/parser_shared.fbs","F128","BROKEN","ADD_AST_CONTRACT"
"src/parser/parser/parser_shared.fbs","F32","BROKEN","ADD_AST_CONTRACT"
"src/parser/parser/parser_shared.fbs","F64","BROKEN","ADD_AST_CONTRACT"
"src/parser/parser/parser_shared.fbs","F80","BROKEN","ADD_AST_CONTRACT"
"src/parser/parser/parser_shared.fbs","GETKEY","BROKEN","ADD_AST_CONTRACT"
"src/parser/parser/parser_shared.fbs","I16","BROKEN","ADD_AST_CONTRACT"
"src/parser/parser/parser_shared.fbs","I32","BROKEN","ADD_AST_CONTRACT"
"src/parser/parser/parser_shared.fbs","I64","BROKEN","ADD_AST_CONTRACT"
"src/parser/parser/parser_shared.fbs","I8","BROKEN","ADD_AST_CONTRACT"
"src/parser/parser/parser_shared.fbs","INKEY","BROKEN","ADD_AST_CONTRACT"
"src/parser/parser/parser_shared.fbs","LPTR","BROKEN","ADD_AST_CONTRACT"
"src/parser/parser/parser_shared.fbs","OBJECT","BROKEN","ADD_AST_CONTRACT"
"src/parser/parser/parser_shared.fbs","OFFSETOF","BROKEN","ADD_AST_CONTRACT"
"src/parser/parser/parser_shared.fbs","PEEKB","BROKEN","ADD_AST_CONTRACT"
"src/parser/parser/parser_shared.fbs","PEEKD","BROKEN","ADD_AST_CONTRACT"
"src/parser/parser/parser_shared.fbs","PEEKW","BROKEN","ADD_AST_CONTRACT"
"src/parser/parser/parser_shared.fbs","RND","BROKEN","ADD_AST_CONTRACT"
"src/parser/parser/parser_shared.fbs","RTRIM","BROKEN","ADD_AST_CONTRACT"
"src/parser/parser/parser_shared.fbs","SGN","BROKEN","ADD_AST_CONTRACT"
"src/parser/parser/parser_shared.fbs","SIZEOF","BROKEN","ADD_AST_CONTRACT"
"src/parser/parser/parser_shared.fbs","SQR","BROKEN","ADD_AST_CONTRACT"
"src/parser/parser/parser_shared.fbs","SQRT","BROKEN","ADD_AST_CONTRACT"
"src/parser/parser/parser_shared.fbs","TAN","BROKEN","ADD_AST_CONTRACT"
"src/parser/parser/parser_shared.fbs","U16","BROKEN","ADD_AST_CONTRACT"
"src/parser/parser/parser_shared.fbs","U32","BROKEN","ADD_AST_CONTRACT"
"src/parser/parser/parser_shared.fbs","U64","BROKEN","ADD_AST_CONTRACT"
"src/parser/parser/parser_shared.fbs","U8","BROKEN","ADD_AST_CONTRACT"
"src/parser/parser/parser_shared.fbs","VARPTR","BROKEN","ADD_AST_CONTRACT"
"src/parser/parser/parser_expr.fbs","-=","BROKEN","ADD_AST_CONTRACT"
"src/parser/parser/parser_expr.fbs","(","BROKEN","ADD_AST_CONTRACT"
"src/parser/parser/parser_expr.fbs","@","BROKEN","ADD_AST_CONTRACT"
"src/parser/parser/parser_expr.fbs","/=","BROKEN","ADD_AST_CONTRACT"
"src/parser/parser/parser_expr.fbs","\=","BROKEN","ADD_AST_CONTRACT"
"src/parser/parser/parser_expr.fbs","%","BROKEN","ADD_AST_CONTRACT"
"src/parser/parser/parser_expr.fbs","%=","BROKEN","ADD_AST_CONTRACT"
"src/parser/parser/parser_expr.fbs","^","BROKEN","ADD_AST_CONTRACT"
"src/parser/parser/parser_expr.fbs","^=","BROKEN","ADD_AST_CONTRACT"
"src/parser/parser/parser_expr.fbs","++","BROKEN","ADD_AST_CONTRACT"
"src/parser/parser/parser_expr.fbs","<<","BROKEN","ADD_AST_CONTRACT"
