surface_id,surface_name,blocker_code,reason,recommended_step,evidence_file
UXB-SURFACE-003,ATN,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_shared.fbs
UXB-SURFACE-004,CDBL,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_shared.fbs
UXB-SURFACE-006,CINT,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_shared.fbs
UXB-SURFACE-007,CLNG,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_shared.fbs
UXB-SURFACE-008,COS,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_shared.fbs
UXB-SURFACE-009,CSNG,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_shared.fbs
UXB-SURFACE-010,DECORATOR,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_stmt_decl_class_method.fbs
UXB-SURFACE-012,EVENT,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_stmt_event_pipe.fbs
UXB-SURFACE-014,FIX,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_expr.fbs
UXB-SURFACE-015,GETKEY,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_shared.fbs
UXB-SURFACE-016,INKEY,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_shared.fbs
UXB-SURFACE-019,LCASE,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_path_validation_helpers.fbs
UXB-SURFACE-021,LOF,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_expr.fbs
UXB-SURFACE-022,LOG,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_expr.fbs
UXB-SURFACE-024,MAGIC,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_stmt_decl_class_method.fbs
UXB-SURFACE-026,MIXIN,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_stmt_decl_class_method.fbs
UXB-SURFACE-030,PARALEL,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_stmt_event_pipe.fbs
UXB-SURFACE-031,PARALLEL,BROKEN,final_decision=BROKEN,ADD_PARSER_HANDLER,src/codegen/x64/mir_x64_codegen.fbs
UXB-SURFACE-032,PIPE,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_expr.fbs
UXB-SURFACE-033,RANDOMIZE,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_stmt_basic.fbs
UXB-SURFACE-034,RND,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_shared.fbs
UXB-SURFACE-035,RTRIM,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_shared.fbs
UXB-SURFACE-036,SETSTRINGSIZE,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_stmt_decl_core.fbs
UXB-SURFACE-037,SGN,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_shared.fbs
UXB-SURFACE-038,SIHIRLIMETOT,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_stmt_decl_class_method.fbs
UXB-SURFACE-040,SLOT,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_stmt_event_pipe.fbs
UXB-SURFACE-042,SQR,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_shared.fbs
UXB-SURFACE-043,SQRT,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_shared.fbs
UXB-SURFACE-045,STRPTR,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_stmt_dispatch.fbs
UXB-SURFACE-046,TAN,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_shared.fbs
UXB-SURFACE-047,THREAD,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_stmt_event_pipe.fbs
UXB-SURFACE-048,THREAT,BROKEN,final_decision=BROKEN,ADD_PARSER_HANDLER,docs/keyword_layer_matrix.csv
UXB-SURFACE-049,TIMER,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_expr.fbs
UXB-SURFACE-050,TRIGGER,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_stmt_event_pipe.fbs
UXB-SURFACE-054,ARRAY,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_shared.fbs
UXB-SURFACE-055,DICT,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_shared.fbs
UXB-SURFACE-100,UNTIL,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_stmt_flow.fbs
UXB-SURFACE-134,COLOR,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_stmt_io.fbs
UXB-SURFACE-137,LOCATE,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_stmt_io.fbs
UXB-SURFACE-163,CODEPTR,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_shared.fbs
UXB-SURFACE-166,LPTR,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_shared.fbs
UXB-SURFACE-167,MEMCOPYB,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_stmt_basic.fbs
UXB-SURFACE-168,MEMCOPYD,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_stmt_basic.fbs
UXB-SURFACE-169,MEMCOPYW,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_stmt_basic.fbs
UXB-SURFACE-170,MEMFILLB,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_stmt_basic.fbs
UXB-SURFACE-171,MEMFILLD,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_stmt_basic.fbs
UXB-SURFACE-172,MEMFILLW,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_stmt_basic.fbs
UXB-SURFACE-173,OFFSETOF,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_shared.fbs
UXB-SURFACE-174,PEEKB,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_shared.fbs
UXB-SURFACE-175,PEEKD,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_shared.fbs
UXB-SURFACE-176,PEEKW,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_shared.fbs
UXB-SURFACE-178,POKEB,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_stmt_basic.fbs
UXB-SURFACE-179,POKED,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_stmt_basic.fbs
UXB-SURFACE-180,POKES,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_stmt_basic.fbs
UXB-SURFACE-181,POKEW,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_stmt_basic.fbs
UXB-SURFACE-184,SIZEOF,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_shared.fbs
