surface_id,surface_name,surface_kind,lifecycle_route,implementation_owner,compile_time_route,runtime_route,backend_route_x64,backend_route_x86,backend_route_js,backend_route_wat,backend_route_wasm,test_positive,test_negative
UXB-SURFACE-001,ABS,builtin_function,lexer:IMPLEMENTED | parser:IMPLEMENTED | ast_contract:IMPLEMENTED | semantic:IMPLEMENTED | type_binding:MISSING | layout:MISSING | hir:IMPLEMENTED | mir:IMPLEMENTED | mir_verify:IMPLEMENTED -> ast_interpreter:IMPLEMENTED | mir_interpreter:IMPLEMENTED | browser_runtime:IMPLEMENTED -> x64:IMPLEMENTED -> x86:IMPLEMENTED -> js:IMPLEMENTED -> wat:WASM_UNSUPPORTED -> wasm:WASM_UNSUPPORTED,codex-step1,lexer:IMPLEMENTED | parser:IMPLEMENTED | ast_contract:IMPLEMENTED | semantic:IMPLEMENTED | type_binding:MISSING | layout:MISSING | hir:IMPLEMENTED | mir:IMPLEMENTED | mir_verify:IMPLEMENTED,ast_interpreter:IMPLEMENTED | mir_interpreter:IMPLEMENTED | browser_runtime:IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,WASM_UNSUPPORTED,WASM_UNSUPPORTED,src/parser/parser/parser_shared.fbs,KEEP_GATE_COVERAGE
UXB-SURFACE-002,ASC,builtin_function,lexer:IMPLEMENTED | parser:IMPLEMENTED | ast_contract:IMPLEMENTED | semantic:IMPLEMENTED | type_binding:MISSING | layout:IMPLEMENTED | hir:IMPLEMENTED | mir:IMPLEMENTED | mir_verify:IMPLEMENTED -> ast_interpreter:IMPLEMENTED | mir_interpreter:IMPLEMENTED | browser_runtime:IMPLEMENTED | library_binding:IMPLEMENTED -> x64:IMPLEMENTED -> x86:IMPLEMENTED -> js:IMPLEMENTED -> wat:WASM_UNSUPPORTED -> wasm:WASM_UNSUPPORTED,codex-step1,lexer:IMPLEMENTED | parser:IMPLEMENTED | ast_contract:IMPLEMENTED | semantic:IMPLEMENTED | type_binding:MISSING | layout:IMPLEMENTED | hir:IMPLEMENTED | mir:IMPLEMENTED | mir_verify:IMPLEMENTED,ast_interpreter:IMPLEMENTED | mir_interpreter:IMPLEMENTED | browser_runtime:IMPLEMENTED | library_binding:IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,WASM_UNSUPPORTED,WASM_UNSUPPORTED,src/parser/parser/parser_path_validation_helpers.fbs,KEEP_GATE_COVERAGE
UXB-SURFACE-003,ATN,builtin_function,lexer:IMPLEMENTED | parser:IMPLEMENTED | ast_contract:IMPLEMENTED | semantic:IMPLEMENTED | type_binding:MISSING | layout:MISSING | hir:IMPLEMENTED | mir:IMPLEMENTED | mir_verify:IMPLEMENTED -> ast_interpreter:IMPLEMENTED | mir_interpreter:IMPLEMENTED | browser_runtime:IMPLEMENTED -> x64:IMPLEMENTED -> x86:IMPLEMENTED -> js:IMPLEMENTED -> wat:WASM_UNSUPPORTED -> wasm:WASM_UNSUPPORTED,codex-step1,lexer:IMPLEMENTED | parser:IMPLEMENTED | ast_contract:IMPLEMENTED | semantic:IMPLEMENTED | type_binding:MISSING | layout:MISSING | hir:IMPLEMENTED | mir:IMPLEMENTED | mir_verify:IMPLEMENTED,ast_interpreter:IMPLEMENTED | mir_interpreter:IMPLEMENTED | browser_runtime:IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,WASM_UNSUPPORTED,WASM_UNSUPPORTED,src/parser/parser/parser_shared.fbs,KEEP_GATE_COVERAGE
UXB-SURFACE-004,CDBL,builtin_function,lexer:IMPLEMENTED | parser:IMPLEMENTED | ast_contract:IMPLEMENTED | semantic:IMPLEMENTED | type_binding:MISSING | layout:MISSING | hir:IMPLEMENTED | mir:IMPLEMENTED | mir_verify:IMPLEMENTED -> ast_interpreter:IMPLEMENTED | mir_interpreter:IMPLEMENTED | browser_runtime:IMPLEMENTED -> x64:IMPLEMENTED -> x86:IMPLEMENTED -> js:IMPLEMENTED -> wat:WASM_UNSUPPORTED -> wasm:WASM_UNSUPPORTED,codex-step1,lexer:IMPLEMENTED | parser:IMPLEMENTED | ast_contract:IMPLEMENTED | semantic:IMPLEMENTED | type_binding:MISSING | layout:MISSING | hir:IMPLEMENTED | mir:IMPLEMENTED | mir_verify:IMPLEMENTED,ast_interpreter:IMPLEMENTED | mir_interpreter:IMPLEMENTED | browser_runtime:IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,WASM_UNSUPPORTED,WASM_UNSUPPORTED,src/parser/parser/parser_shared.fbs,KEEP_GATE_COVERAGE
UXB-SURFACE-005,CHR,builtin_function,lexer:IMPLEMENTED | parser:IMPLEMENTED | ast_contract:IMPLEMENTED | semantic:IMPLEMENTED | type_binding:MISSING | layout:IMPLEMENTED | hir:IMPLEMENTED | mir:IMPLEMENTED | mir_verify:IMPLEMENTED -> ast_interpreter:IMPLEMENTED | mir_interpreter:IMPLEMENTED | browser_runtime:IMPLEMENTED -> x64:IMPLEMENTED -> x86:IMPLEMENTED -> js:IMPLEMENTED -> wat:WASM_UNSUPPORTED -> wasm:WASM_UNSUPPORTED,codex-step1,lexer:IMPLEMENTED | parser:IMPLEMENTED | ast_contract:IMPLEMENTED | semantic:IMPLEMENTED | type_binding:MISSING | layout:IMPLEMENTED | hir:IMPLEMENTED | mir:IMPLEMENTED | mir_verify:IMPLEMENTED,ast_interpreter:IMPLEMENTED | mir_interpreter:IMPLEMENTED | browser_runtime:IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,WASM_UNSUPPORTED,WASM_UNSUPPORTED,src/parser/parser/parser_shared.fbs,KEEP_GATE_COVERAGE
UXB-SURFACE-006,CINT,builtin_function,lexer:IMPLEMENTED | parser:IMPLEMENTED | ast_contract:IMPLEMENTED | semantic:IMPLEMENTED | type_binding:MISSING | layout:MISSING | hir:IMPLEMENTED | mir:IMPLEMENTED | mir_verify:IMPLEMENTED -> ast_interpreter:IMPLEMENTED | mir_interpreter:IMPLEMENTED | browser_runtime:IMPLEMENTED -> x64:IMPLEMENTED -> x86:IMPLEMENTED -> js:IMPLEMENTED -> wat:WASM_UNSUPPORTED -> wasm:WASM_UNSUPPORTED,codex-step1,lexer:IMPLEMENTED | parser:IMPLEMENTED | ast_contract:IMPLEMENTED | semantic:IMPLEMENTED | type_binding:MISSING | layout:MISSING | hir:IMPLEMENTED | mir:IMPLEMENTED | mir_verify:IMPLEMENTED,ast_interpreter:IMPLEMENTED | mir_interpreter:IMPLEMENTED | browser_runtime:IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,WASM_UNSUPPORTED,WASM_UNSUPPORTED,src/parser/parser/parser_shared.fbs,KEEP_GATE_COVERAGE
UXB-SURFACE-007,CLNG,builtin_function,lexer:IMPLEMENTED | parser:IMPLEMENTED | ast_contract:IMPLEMENTED | semantic:IMPLEMENTED | type_binding:MISSING | layout:MISSING | hir:IMPLEMENTED | mir:IMPLEMENTED | mir_verify:IMPLEMENTED -> ast_interpreter:IMPLEMENTED | mir_interpreter:IMPLEMENTED | browser_runtime:IMPLEMENTED -> x64:IMPLEMENTED -> x86:IMPLEMENTED -> js:IMPLEMENTED -> wat:WASM_UNSUPPORTED -> wasm:WASM_UNSUPPORTED,codex-step1,lexer:IMPLEMENTED | parser:IMPLEMENTED | ast_contract:IMPLEMENTED | semantic:IMPLEMENTED | type_binding:MISSING | layout:MISSING | hir:IMPLEMENTED | mir:IMPLEMENTED | mir_verify:IMPLEMENTED,ast_interpreter:IMPLEMENTED | mir_interpreter:IMPLEMENTED | browser_runtime:IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,WASM_UNSUPPORTED,WASM_UNSUPPORTED,src/parser/parser/parser_shared.fbs,KEEP_GATE_COVERAGE
UXB-SURFACE-008,COS,builtin_function,lexer:IMPLEMENTED | parser:IMPLEMENTED | ast_contract:IMPLEMENTED | semantic:IMPLEMENTED | type_binding:MISSING | layout:MISSING | hir:IMPLEMENTED | mir:IMPLEMENTED | mir_verify:IMPLEMENTED -> ast_interpreter:IMPLEMENTED | mir_interpreter:IMPLEMENTED | browser_runtime:IMPLEMENTED -> x64:IMPLEMENTED -> x86:IMPLEMENTED -> js:IMPLEMENTED -> wat:WASM_UNSUPPORTED -> wasm:WASM_UNSUPPORTED,codex-step1,lexer:IMPLEMENTED | parser:IMPLEMENTED | ast_contract:IMPLEMENTED | semantic:IMPLEMENTED | type_binding:MISSING | layout:MISSING | hir:IMPLEMENTED | mir:IMPLEMENTED | mir_verify:IMPLEMENTED,ast_interpreter:IMPLEMENTED | mir_interpreter:IMPLEMENTED | browser_runtime:IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,WASM_UNSUPPORTED,WASM_UNSUPPORTED,src/parser/parser/parser_shared.fbs,KEEP_GATE_COVERAGE
UXB-SURFACE-009,CSNG,builtin_function,lexer:IMPLEMENTED | parser:IMPLEMENTED | ast_contract:IMPLEMENTED | semantic:IMPLEMENTED | type_binding:MISSING | layout:MISSING | hir:IMPLEMENTED | mir:IMPLEMENTED | mir_verify:IMPLEMENTED -> ast_interpreter:IMPLEMENTED | mir_interpreter:IMPLEMENTED | browser_runtime:IMPLEMENTED -> x64:IMPLEMENTED -> x86:IMPLEMENTED -> js:IMPLEMENTED -> wat:WASM_UNSUPPORTED -> wasm:WASM_UNSUPPORTED,codex-step1,lexer:IMPLEMENTED | parser:IMPLEMENTED | ast_contract:IMPLEMENTED | semantic:IMPLEMENTED | type_binding:MISSING | layout:MISSING | hir:IMPLEMENTED | mir:IMPLEMENTED | mir_verify:IMPLEMENTED,ast_interpreter:IMPLEMENTED | mir_interpreter:IMPLEMENTED | browser_runtime:IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,WASM_UNSUPPORTED,WASM_UNSUPPORTED,src/parser/parser/parser_shared.fbs,KEEP_GATE_COVERAGE
UXB-SURFACE-010,DECORATOR,builtin_function,lexer:IMPLEMENTED | parser:IMPLEMENTED | ast_contract:IMPLEMENTED | semantic:IMPLEMENTED | type_binding:MISSING | layout:MISSING | hir:IMPLEMENTED | mir:IMPLEMENTED | mir_verify:IMPLEMENTED -> ast_interpreter:IMPLEMENTED | browser_runtime:IMPLEMENTED -> x64:IMPLEMENTED -> x86:IMPLEMENTED -> js:IMPLEMENTED -> wat:WASM_UNSUPPORTED -> wasm:WASM_UNSUPPORTED,codex-step1,lexer:IMPLEMENTED | parser:IMPLEMENTED | ast_contract:IMPLEMENTED | semantic:IMPLEMENTED | type_binding:MISSING | layout:MISSING | hir:IMPLEMENTED | mir:IMPLEMENTED | mir_verify:IMPLEMENTED,ast_interpreter:IMPLEMENTED | browser_runtime:IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,WASM_UNSUPPORTED,WASM_UNSUPPORTED,src/parser/parser/parser_stmt_decl_class_method.fbs,KEEP_GATE_COVERAGE
