surface_id,surface_name,backend,status,recommended_step
UXB-SURFACE-001,ABS,x64,MISSING,KEEP_GATE_COVERAGE
UXB-SURFACE-001,ABS,x86,MISSING,KEEP_GATE_COVERAGE
UXB-SURFACE-003,ATN,x64,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-003,ATN,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-004,CDBL,x64,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-004,CDBL,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-005,CHR,x64,MISSING,KEEP_GATE_COVERAGE
UXB-SURFACE-006,CINT,x64,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-006,CINT,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-007,CLNG,x64,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-007,CLNG,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-008,COS,x64,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-008,COS,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-009,CSNG,x64,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-009,CSNG,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-010,DECORATOR,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-011,EOF,x86,MISSING,KEEP_GATE_COVERAGE
UXB-SURFACE-012,EVENT,x64,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-012,EVENT,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-013,EXP,x64,MISSING,KEEP_GATE_COVERAGE
UXB-SURFACE-014,FIX,x64,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-015,GETKEY,x64,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-015,GETKEY,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-016,INKEY,x64,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-016,INKEY,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-017,INLINE,x64,MISSING,KEEP_GATE_COVERAGE
UXB-SURFACE-017,INLINE,x86,MISSING,KEEP_GATE_COVERAGE
UXB-SURFACE-019,LCASE,x64,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-019,LCASE,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-021,LOF,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-022,LOG,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-023,LTRIM,x64,MISSING,KEEP_GATE_COVERAGE
UXB-SURFACE-024,MAGIC,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-026,MIXIN,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-027,OFF,x86,MISSING,KEEP_GATE_COVERAGE
UXB-SURFACE-029,OVERRIDE,x86,MISSING,KEEP_GATE_COVERAGE
UXB-SURFACE-030,PARALEL,x64,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-030,PARALEL,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-031,PARALLEL,x86,MISSING,ADD_PARSER_HANDLER
UXB-SURFACE-032,PIPE,x64,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-032,PIPE,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-033,RANDOMIZE,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-034,RND,x64,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-034,RND,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-035,RTRIM,x64,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-035,RTRIM,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-036,SETSTRINGSIZE,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-037,SGN,x64,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-037,SGN,x86,MISSING,ADD_AST_CONTRACT
