id,surface_name,required_action
UXB-SURFACE-003,ATN,ADD_AST_CONTRACT
UXB-SURFACE-004,CDBL,ADD_AST_CONTRACT
UXB-SURFACE-006,CINT,ADD_AST_CONTRACT
UXB-SURFACE-007,CLNG,ADD_AST_CONTRACT
UXB-SURFACE-008,COS,ADD_AST_CONTRACT
UXB-SURFACE-009,CSNG,ADD_AST_CONTRACT
UXB-SURFACE-010,DECORATOR,ADD_AST_CONTRACT
UXB-SURFACE-012,EVENT,ADD_AST_CONTRACT
UXB-SURFACE-014,FIX,ADD_AST_CONTRACT
UXB-SURFACE-015,GETKEY,ADD_AST_CONTRACT
UXB-SURFACE-016,INKEY,ADD_AST_CONTRACT
UXB-SURFACE-019,LCASE,ADD_AST_CONTRACT
UXB-SURFACE-021,LOF,ADD_AST_CONTRACT
UXB-SURFACE-022,LOG,ADD_AST_CONTRACT
UXB-SURFACE-024,MAGIC,ADD_AST_CONTRACT
UXB-SURFACE-026,MIXIN,ADD_AST_CONTRACT
UXB-SURFACE-030,PARALEL,ADD_AST_CONTRACT
UXB-SURFACE-031,PARALLEL,ADD_PARSER_HANDLER
UXB-SURFACE-032,PIPE,ADD_AST_CONTRACT
UXB-SURFACE-033,RANDOMIZE,ADD_AST_CONTRACT
UXB-SURFACE-034,RND,ADD_AST_CONTRACT
UXB-SURFACE-035,RTRIM,ADD_AST_CONTRACT
UXB-SURFACE-036,SETSTRINGSIZE,ADD_AST_CONTRACT
UXB-SURFACE-037,SGN,ADD_AST_CONTRACT
UXB-SURFACE-038,SIHIRLIMETOT,ADD_AST_CONTRACT
UXB-SURFACE-040,SLOT,ADD_AST_CONTRACT
UXB-SURFACE-042,SQR,ADD_AST_CONTRACT
UXB-SURFACE-043,SQRT,ADD_AST_CONTRACT
UXB-SURFACE-045,STRPTR,ADD_AST_CONTRACT
UXB-SURFACE-046,TAN,ADD_AST_CONTRACT
UXB-SURFACE-047,THREAD,ADD_AST_CONTRACT
UXB-SURFACE-048,THREAT,ADD_PARSER_HANDLER
UXB-SURFACE-049,TIMER,ADD_AST_CONTRACT
UXB-SURFACE-050,TRIGGER,ADD_AST_CONTRACT
UXB-SURFACE-054,ARRAY,ADD_AST_CONTRACT
UXB-SURFACE-055,DICT,ADD_AST_CONTRACT
UXB-SURFACE-100,UNTIL,ADD_AST_CONTRACT
UXB-SURFACE-134,COLOR,ADD_AST_CONTRACT
UXB-SURFACE-137,LOCATE,ADD_AST_CONTRACT
UXB-SURFACE-163,CODEPTR,ADD_AST_CONTRACT
UXB-SURFACE-166,LPTR,ADD_AST_CONTRACT
UXB-SURFACE-167,MEMCOPYB,ADD_AST_CONTRACT
UXB-SURFACE-168,MEMCOPYD,ADD_AST_CONTRACT
UXB-SURFACE-169,MEMCOPYW,ADD_AST_CONTRACT
UXB-SURFACE-170,MEMFILLB,ADD_AST_CONTRACT
UXB-SURFACE-171,MEMFILLD,ADD_AST_CONTRACT
UXB-SURFACE-172,MEMFILLW,ADD_AST_CONTRACT
UXB-SURFACE-173,OFFSETOF,ADD_AST_CONTRACT
UXB-SURFACE-174,PEEKB,ADD_AST_CONTRACT
UXB-SURFACE-175,PEEKD,ADD_AST_CONTRACT
UXB-SURFACE-176,PEEKW,ADD_AST_CONTRACT
UXB-SURFACE-178,POKEB,ADD_AST_CONTRACT
UXB-SURFACE-179,POKED,ADD_AST_CONTRACT
UXB-SURFACE-180,POKES,ADD_AST_CONTRACT
UXB-SURFACE-181,POKEW,ADD_AST_CONTRACT
UXB-SURFACE-184,SIZEOF,ADD_AST_CONTRACT
UXB-SURFACE-185,VARPTR,ADD_AST_CONTRACT
UXB-SURFACE-187,%,ADD_AST_CONTRACT
UXB-SURFACE-188,%=,ADD_AST_CONTRACT
UXB-SURFACE-191,(,ADD_AST_CONTRACT
UXB-SURFACE-196,++,ADD_AST_CONTRACT
UXB-SURFACE-201,-=,ADD_AST_CONTRACT
UXB-SURFACE-204,/=,ADD_AST_CONTRACT
UXB-SURFACE-207,<<,ADD_AST_CONTRACT
UXB-SURFACE-208,<<=,ADD_AST_CONTRACT
UXB-SURFACE-214,>>,ADD_AST_CONTRACT
UXB-SURFACE-215,>>=,ADD_AST_CONTRACT
UXB-SURFACE-216,@,ADD_AST_CONTRACT
UXB-SURFACE-224,SHR,ADD_AST_CONTRACT
UXB-SURFACE-225,XOR,ADD_AST_CONTRACT
UXB-SURFACE-228,\=,ADD_AST_CONTRACT
UXB-SURFACE-230,^,ADD_AST_CONTRACT
UXB-SURFACE-231,^=,ADD_AST_CONTRACT
UXB-SURFACE-232,|,ADD_AST_CONTRACT
UXB-SURFACE-233,|=,ADD_AST_CONTRACT
UXB-SURFACE-238,DELETE,ADD_AST_CONTRACT
UXB-SURFACE-241,IMPLEMENTS,ADD_AST_CONTRACT
UXB-SURFACE-246,PROPERTY,ADD_AST_CONTRACT
UXB-SURFACE-249,BALL,ADD_AST_CONTRACT
UXB-SURFACE-250,BIGD,ADD_AST_CONTRACT
UXB-SURFACE-251,BIGF,ADD_AST_CONTRACT
UXB-SURFACE-252,BOOLEAN,ADD_AST_CONTRACT
UXB-SURFACE-253,BYTE,ADD_AST_CONTRACT
UXB-SURFACE-254,F128,ADD_AST_CONTRACT
UXB-SURFACE-255,F32,ADD_AST_CONTRACT
UXB-SURFACE-256,F64,ADD_AST_CONTRACT
UXB-SURFACE-257,F80,ADD_AST_CONTRACT
UXB-SURFACE-258,I16,ADD_AST_CONTRACT
UXB-SURFACE-259,I32,ADD_AST_CONTRACT
UXB-SURFACE-260,I64,ADD_AST_CONTRACT
UXB-SURFACE-261,I8,ADD_AST_CONTRACT
