id,surface_name,surface_group,surface_kind,syntax,example,source_file,lexer_status,parser_status,ast_node,ast_contract_status,semantic_status,type_binding_status,layout_status,hir_status,mir_opcode,mir_status,mir_verify_status,mir_json_status,ast_interpreter_status,mir_interpreter_status,x64_ast_status,x64_mir_status,x86_status,js_transpiler_status,wasm_wat_status,browser_runtime_status,library_binding_status,vscode_evidence_status,test_status,doc_status,final_decision,required_action,owner
UXB-SURFACE-001,ABS,builtin,builtin_function,ABS,ABS,src/parser/parser/parser_shared.fbs,IMPLEMENTED,IMPLEMENTED,ABS_STMT,IMPLEMENTED,IMPLEMENTED,MISSING,MISSING,MISSING,N/A,MISSING,MISSING,MISSING,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MISSING,MISSING,IMPLEMENTED,WASM_UNSUPPORTED,IMPLEMENTED,MISSING,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,KEEP_GATE_COVERAGE,codex-step1
UXB-SURFACE-002,ASC,builtin,builtin_function,ASC,ASC,src/parser/parser/parser_path_validation_helpers.fbs,IMPLEMENTED,IMPLEMENTED,ASC_STMT,IMPLEMENTED,IMPLEMENTED,MISSING,IMPLEMENTED,MISSING,MIR_ASC,IMPLEMENTED,MISSING,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,WASM_UNSUPPORTED,IMPLEMENTED,IMPLEMENTED,MISSING,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,KEEP_GATE_COVERAGE,codex-step1
UXB-SURFACE-003,ATN,builtin,builtin_function,ATN,ATN,src/parser/parser/parser_shared.fbs,IMPLEMENTED,IMPLEMENTED,ATN_STMT,MISSING,MISSING,MISSING,MISSING,MISSING,MIR_ATN,IMPLEMENTED,MISSING,MISSING,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MISSING,MISSING,IMPLEMENTED,WASM_UNSUPPORTED,IMPLEMENTED,MISSING,MISSING,IMPLEMENTED,IMPLEMENTED,BROKEN,ADD_AST_CONTRACT,codex-step1
UXB-SURFACE-004,CDBL,builtin,builtin_function,CDBL,CDBL,src/parser/parser/parser_shared.fbs,IMPLEMENTED,IMPLEMENTED,CDBL_STMT,MISSING,MISSING,MISSING,MISSING,MISSING,MIR_CDBL,IMPLEMENTED,MISSING,MISSING,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MISSING,MISSING,IMPLEMENTED,WASM_UNSUPPORTED,IMPLEMENTED,MISSING,MISSING,IMPLEMENTED,IMPLEMENTED,BROKEN,ADD_AST_CONTRACT,codex-step1
UXB-SURFACE-005,CHR,builtin,builtin_function,CHR,CHR,src/parser/parser/parser_shared.fbs,IMPLEMENTED,IMPLEMENTED,CHR_STMT,IMPLEMENTED,MISSING,MISSING,IMPLEMENTED,IMPLEMENTED,MIR_CHR,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MISSING,IMPLEMENTED,IMPLEMENTED,WASM_UNSUPPORTED,IMPLEMENTED,MISSING,MISSING,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,KEEP_GATE_COVERAGE,codex-step1
UXB-SURFACE-006,CINT,builtin,builtin_function,CINT,CINT,src/parser/parser/parser_shared.fbs,IMPLEMENTED,IMPLEMENTED,CINT_STMT,MISSING,MISSING,MISSING,MISSING,MISSING,N/A,MISSING,MISSING,MISSING,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MISSING,MISSING,IMPLEMENTED,WASM_UNSUPPORTED,IMPLEMENTED,MISSING,MISSING,IMPLEMENTED,IMPLEMENTED,BROKEN,ADD_AST_CONTRACT,codex-step1
UXB-SURFACE-007,CLNG,builtin,builtin_function,CLNG,CLNG,src/parser/parser/parser_shared.fbs,IMPLEMENTED,IMPLEMENTED,CLNG_STMT,MISSING,IMPLEMENTED,MISSING,MISSING,MISSING,N/A,MISSING,MISSING,MISSING,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MISSING,MISSING,IMPLEMENTED,WASM_UNSUPPORTED,IMPLEMENTED,MISSING,MISSING,IMPLEMENTED,IMPLEMENTED,BROKEN,ADD_AST_CONTRACT,codex-step1
UXB-SURFACE-008,COS,builtin,builtin_function,COS,COS,src/parser/parser/parser_shared.fbs,IMPLEMENTED,IMPLEMENTED,COS_STMT,MISSING,MISSING,MISSING,MISSING,MISSING,MIR_COS,IMPLEMENTED,MISSING,MISSING,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MISSING,MISSING,IMPLEMENTED,WASM_UNSUPPORTED,IMPLEMENTED,MISSING,MISSING,IMPLEMENTED,IMPLEMENTED,BROKEN,ADD_AST_CONTRACT,codex-step1
UXB-SURFACE-009,CSNG,builtin,builtin_function,CSNG,CSNG,src/parser/parser/parser_shared.fbs,IMPLEMENTED,IMPLEMENTED,CSNG_STMT,MISSING,MISSING,MISSING,MISSING,MISSING,MIR_CSNG,IMPLEMENTED,MISSING,MISSING,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MISSING,MISSING,IMPLEMENTED,WASM_UNSUPPORTED,IMPLEMENTED,MISSING,MISSING,IMPLEMENTED,IMPLEMENTED,BROKEN,ADD_AST_CONTRACT,codex-step1
UXB-SURFACE-010,DECORATOR,builtin,builtin_function,DECORATOR,DECORATOR,src/parser/parser/parser_stmt_decl_class_method.fbs,IMPLEMENTED,IMPLEMENTED,DECORATOR_STMT,MISSING,IMPLEMENTED,MISSING,MISSING,MISSING,N/A,MISSING,MISSING,MISSING,IMPLEMENTED,MISSING,MISSING,IMPLEMENTED,MISSING,IMPLEMENTED,WASM_UNSUPPORTED,IMPLEMENTED,MISSING,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,BROKEN,ADD_AST_CONTRACT,codex-step1
UXB-SURFACE-011,EOF,builtin,builtin_function,EOF,EOF,src/parser/parser/parser_expr.fbs,IMPLEMENTED,IMPLEMENTED,EOF_STMT,IMPLEMENTED,MISSING,MISSING,IMPLEMENTED,MISSING,N/A,MISSING,MISSING,MISSING,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MISSING,IMPLEMENTED,RUNTIME_CALL,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,KEEP_GATE_COVERAGE,codex-step1
UXB-SURFACE-012,EVENT,builtin,builtin_function,EVENT,EVENT,src/parser/parser/parser_stmt_event_pipe.fbs,IMPLEMENTED,IMPLEMENTED,EVENT_STMT,MISSING,IMPLEMENTED,MISSING,MISSING,IMPLEMENTED,N/A,MISSING,MISSING,MISSING,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MISSING,MISSING,IMPLEMENTED,WASM_UNSUPPORTED,IMPLEMENTED,MISSING,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,BROKEN,ADD_AST_CONTRACT,codex-step1
