id,surface_name,layer,status
UXB-SURFACE-001,ABS,type_binding_status,MISSING
UXB-SURFACE-001,ABS,layout_status,MISSING
UXB-SURFACE-001,ABS,hir_status,MISSING
UXB-SURFACE-001,ABS,mir_status,MISSING
UXB-SURFACE-001,ABS,mir_verify_status,MISSING
UXB-SURFACE-001,ABS,mir_json_status,MISSING
UXB-SURFACE-001,ABS,x64_mir_status,MISSING
UXB-SURFACE-001,ABS,x86_status,MISSING
UXB-SURFACE-001,ABS,library_binding_status,MISSING
UXB-SURFACE-002,ASC,type_binding_status,MISSING
UXB-SURFACE-002,ASC,hir_status,MISSING
UXB-SURFACE-002,ASC,mir_verify_status,MISSING
UXB-SURFACE-002,ASC,vscode_evidence_status,MISSING
UXB-SURFACE-003,ATN,ast_contract_status,MISSING
UXB-SURFACE-003,ATN,semantic_status,MISSING
UXB-SURFACE-003,ATN,type_binding_status,MISSING
UXB-SURFACE-003,ATN,layout_status,MISSING
UXB-SURFACE-003,ATN,hir_status,MISSING
UXB-SURFACE-003,ATN,mir_verify_status,MISSING
UXB-SURFACE-003,ATN,mir_json_status,MISSING
UXB-SURFACE-003,ATN,x64_mir_status,MISSING
UXB-SURFACE-003,ATN,x86_status,MISSING
UXB-SURFACE-003,ATN,library_binding_status,MISSING
UXB-SURFACE-003,ATN,vscode_evidence_status,MISSING
UXB-SURFACE-004,CDBL,ast_contract_status,MISSING
UXB-SURFACE-004,CDBL,semantic_status,MISSING
UXB-SURFACE-004,CDBL,type_binding_status,MISSING
UXB-SURFACE-004,CDBL,layout_status,MISSING
UXB-SURFACE-004,CDBL,hir_status,MISSING
UXB-SURFACE-004,CDBL,mir_verify_status,MISSING
UXB-SURFACE-004,CDBL,mir_json_status,MISSING
UXB-SURFACE-004,CDBL,x64_mir_status,MISSING
UXB-SURFACE-004,CDBL,x86_status,MISSING
UXB-SURFACE-004,CDBL,library_binding_status,MISSING
UXB-SURFACE-004,CDBL,vscode_evidence_status,MISSING
UXB-SURFACE-005,CHR,semantic_status,MISSING
UXB-SURFACE-005,CHR,type_binding_status,MISSING
UXB-SURFACE-005,CHR,x64_mir_status,MISSING
UXB-SURFACE-005,CHR,library_binding_status,MISSING
UXB-SURFACE-005,CHR,vscode_evidence_status,MISSING
UXB-SURFACE-006,CINT,ast_contract_status,MISSING
UXB-SURFACE-006,CINT,semantic_status,MISSING
UXB-SURFACE-006,CINT,type_binding_status,MISSING
UXB-SURFACE-006,CINT,layout_status,MISSING
UXB-SURFACE-006,CINT,hir_status,MISSING
UXB-SURFACE-006,CINT,mir_status,MISSING
UXB-SURFACE-006,CINT,mir_verify_status,MISSING
UXB-SURFACE-006,CINT,mir_json_status,MISSING
UXB-SURFACE-006,CINT,x64_mir_status,MISSING
UXB-SURFACE-006,CINT,x86_status,MISSING
UXB-SURFACE-006,CINT,library_binding_status,MISSING
UXB-SURFACE-006,CINT,vscode_evidence_status,MISSING
UXB-SURFACE-007,CLNG,ast_contract_status,MISSING
UXB-SURFACE-007,CLNG,type_binding_status,MISSING
UXB-SURFACE-007,CLNG,layout_status,MISSING
UXB-SURFACE-007,CLNG,hir_status,MISSING
UXB-SURFACE-007,CLNG,mir_status,MISSING
UXB-SURFACE-007,CLNG,mir_verify_status,MISSING
UXB-SURFACE-007,CLNG,mir_json_status,MISSING
UXB-SURFACE-007,CLNG,x64_mir_status,MISSING
UXB-SURFACE-007,CLNG,x86_status,MISSING
UXB-SURFACE-007,CLNG,library_binding_status,MISSING
UXB-SURFACE-007,CLNG,vscode_evidence_status,MISSING
UXB-SURFACE-008,COS,ast_contract_status,MISSING
UXB-SURFACE-008,COS,semantic_status,MISSING
UXB-SURFACE-008,COS,type_binding_status,MISSING
UXB-SURFACE-008,COS,layout_status,MISSING
UXB-SURFACE-008,COS,hir_status,MISSING
UXB-SURFACE-008,COS,mir_verify_status,MISSING
UXB-SURFACE-008,COS,mir_json_status,MISSING
UXB-SURFACE-008,COS,x64_mir_status,MISSING
UXB-SURFACE-008,COS,x86_status,MISSING
UXB-SURFACE-008,COS,library_binding_status,MISSING
UXB-SURFACE-008,COS,vscode_evidence_status,MISSING
UXB-SURFACE-009,CSNG,ast_contract_status,MISSING
UXB-SURFACE-009,CSNG,semantic_status,MISSING
UXB-SURFACE-009,CSNG,type_binding_status,MISSING
UXB-SURFACE-009,CSNG,layout_status,MISSING
UXB-SURFACE-009,CSNG,hir_status,MISSING
UXB-SURFACE-009,CSNG,mir_verify_status,MISSING
UXB-SURFACE-009,CSNG,mir_json_status,MISSING
UXB-SURFACE-009,CSNG,x64_mir_status,MISSING
UXB-SURFACE-009,CSNG,x86_status,MISSING
UXB-SURFACE-009,CSNG,library_binding_status,MISSING
UXB-SURFACE-009,CSNG,vscode_evidence_status,MISSING
UXB-SURFACE-010,DECORATOR,ast_contract_status,MISSING
UXB-SURFACE-010,DECORATOR,type_binding_status,MISSING
UXB-SURFACE-010,DECORATOR,layout_status,MISSING
UXB-SURFACE-010,DECORATOR,hir_status,MISSING
UXB-SURFACE-010,DECORATOR,mir_status,MISSING
UXB-SURFACE-010,DECORATOR,mir_verify_status,MISSING
UXB-SURFACE-010,DECORATOR,mir_json_status,MISSING
UXB-SURFACE-010,DECORATOR,mir_interpreter_status,MISSING
UXB-SURFACE-010,DECORATOR,x64_ast_status,MISSING
UXB-SURFACE-010,DECORATOR,x86_status,MISSING
UXB-SURFACE-010,DECORATOR,library_binding_status,MISSING
UXB-SURFACE-011,EOF,semantic_status,MISSING
UXB-SURFACE-011,EOF,type_binding_status,MISSING
UXB-SURFACE-011,EOF,hir_status,MISSING
UXB-SURFACE-011,EOF,mir_status,MISSING
UXB-SURFACE-011,EOF,mir_verify_status,MISSING
UXB-SURFACE-011,EOF,mir_json_status,MISSING
UXB-SURFACE-011,EOF,x86_status,MISSING
UXB-SURFACE-012,EVENT,ast_contract_status,MISSING
UXB-SURFACE-012,EVENT,type_binding_status,MISSING
UXB-SURFACE-012,EVENT,layout_status,MISSING
