opcode,ast_interpreter_expectation,mir_interpreter_expectation,status,required_action
ADD,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,NONE
AND,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,NONE
CALL,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,NONE
CONST,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,NONE
DEF_TYPE,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,NONE
DIM,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,NONE
DIV,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,NONE
EQ,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,NONE
FADD,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,NONE
FDIV,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,NONE
FMUL,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,NONE
FNEG,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,NONE
FSUB,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,NONE
GE,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,NONE
GT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,NONE
JMP,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,NONE
JNZ,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,NONE
JZ,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,NONE
LABEL,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,NONE
LE,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,NONE
LOAD_CONST,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,NONE
LOAD_INDEXED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,NONE
LOAD_VAR,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,NONE
LT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,NONE
MIR_ADD,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,NONE
MIR_AND,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,NONE
MIR_ARRAY_NEW,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,NONE
MIR_CAST,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,NONE
MIR_CONST,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,NONE
MIR_EQ,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,NONE
MIR_FADD,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,NONE
MIR_FILE_OPEN,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,NONE
MIR_FUNCTION_BEGIN,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,NONE
MIR_JS_CALL,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,NONE
MIR_LABEL,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,NONE
MIR_LOCAL_DECL,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,NONE
MIR_MEM_LOAD,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,NONE
MIR_NATIVE_ONLY,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,NONE
MIR_NOP,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,NONE
MIR_OBJECT_NEW,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,NONE
MIR_PRINT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,NONE
MIR_STR_NEW,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,NONE
MIR_TRY_BEGIN,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,NONE
MIR_WASM_IMPORT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,NONE
MOD,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,NONE
MUL,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,NONE
NE,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,NONE
NEG,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,NONE
NEW,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,NONE
NOT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,NONE
OR,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,NONE
REDIM,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,NONE
RET,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,NONE
ROL,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,NONE
ROR,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,NONE
SETSTRINGSIZE,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,NONE
SHL,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,NONE
SHR,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,NONE
STORE_INDEXED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,NONE
STORE_VAR,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,NONE
SUB,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,NONE
XOR,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,NONE
