opcode,opcode_group,result_type,operand_count,operand_types,has_side_effect,requires_layout,requires_runtime,requires_external,x64_supported,js_supported,wasm_supported,browser_supported,verify_rule,json_supported,status,required_action
ADD,MIR_ARITH,TYPE_UNKNOWN,variable,dynamic,NO,NO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,missing_verify_rule,YES,BROKEN,ADD_VERIFY_RULE
AND,MIR_META,TYPE_UNKNOWN,variable,dynamic,NO,NO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,missing_verify_rule,YES,BROKEN,ADD_VERIFY_RULE
CALL,MIR_CALL,TYPE_UNKNOWN,variable,dynamic,YES,NO,YES,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,missing_verify_rule,YES,BROKEN,ADD_VERIFY_RULE
CONST,MIR_META,TYPE_UNKNOWN,variable,dynamic,NO,NO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,missing_verify_rule,YES,BROKEN,ADD_VERIFY_RULE
DEF_TYPE,MIR_META,TYPE_UNKNOWN,variable,dynamic,NO,NO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,missing_verify_rule,YES,BROKEN,ADD_VERIFY_RULE
DIM,MIR_META,TYPE_UNKNOWN,variable,dynamic,NO,NO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,missing_verify_rule,YES,BROKEN,ADD_VERIFY_RULE
DIV,MIR_ARITH,TYPE_UNKNOWN,variable,dynamic,NO,NO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,missing_verify_rule,YES,BROKEN,ADD_VERIFY_RULE
EQ,MIR_META,TYPE_UNKNOWN,variable,dynamic,NO,NO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,missing_verify_rule,YES,BROKEN,ADD_VERIFY_RULE
FADD,MIR_ARITH,TYPE_UNKNOWN,variable,dynamic,NO,NO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,missing_verify_rule,YES,BROKEN,ADD_VERIFY_RULE
FDIV,MIR_ARITH,TYPE_UNKNOWN,variable,dynamic,NO,NO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,missing_verify_rule,YES,BROKEN,ADD_VERIFY_RULE
FMUL,MIR_ARITH,TYPE_UNKNOWN,variable,dynamic,NO,NO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,missing_verify_rule,YES,BROKEN,ADD_VERIFY_RULE
FNEG,MIR_ARITH,TYPE_UNKNOWN,variable,dynamic,NO,NO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,missing_verify_rule,YES,BROKEN,ADD_VERIFY_RULE
FSUB,MIR_ARITH,TYPE_UNKNOWN,variable,dynamic,NO,NO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,missing_verify_rule,YES,BROKEN,ADD_VERIFY_RULE
GE,MIR_META,TYPE_UNKNOWN,variable,dynamic,NO,NO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,missing_verify_rule,YES,BROKEN,ADD_VERIFY_RULE
GT,MIR_META,TYPE_UNKNOWN,variable,dynamic,NO,NO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,missing_verify_rule,YES,BROKEN,ADD_VERIFY_RULE
JMP,MIR_CONTROL,TYPE_UNKNOWN,variable,dynamic,YES,NO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,missing_verify_rule,YES,BROKEN,ADD_VERIFY_RULE
JNZ,MIR_META,TYPE_UNKNOWN,variable,dynamic,NO,NO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,missing_verify_rule,YES,BROKEN,ADD_VERIFY_RULE
JZ,MIR_META,TYPE_UNKNOWN,variable,dynamic,NO,NO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,missing_verify_rule,YES,BROKEN,ADD_VERIFY_RULE
LABEL,MIR_CONTROL,TYPE_UNKNOWN,variable,dynamic,YES,NO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,missing_verify_rule,YES,BROKEN,ADD_VERIFY_RULE
LE,MIR_META,TYPE_UNKNOWN,variable,dynamic,NO,NO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,missing_verify_rule,YES,BROKEN,ADD_VERIFY_RULE
LOAD_CONST,MIR_META,TYPE_UNKNOWN,variable,dynamic,NO,NO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,missing_verify_rule,YES,BROKEN,ADD_VERIFY_RULE
LOAD_INDEXED,MIR_META,TYPE_UNKNOWN,variable,dynamic,NO,NO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,missing_verify_rule,YES,BROKEN,ADD_VERIFY_RULE
LOAD_VAR,MIR_META,TYPE_UNKNOWN,variable,dynamic,NO,NO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,missing_verify_rule,YES,BROKEN,ADD_VERIFY_RULE
LT,MIR_META,TYPE_UNKNOWN,variable,dynamic,NO,NO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,missing_verify_rule,YES,BROKEN,ADD_VERIFY_RULE
MIR_ADD,MIR_ARITH,TYPE_UNKNOWN,variable,dynamic,NO,NO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,missing_verify_rule,YES,BROKEN,ADD_VERIFY_RULE
