opcode,verify_rule,no_unknown_rule,status,required_action
ADD,UXBMIRVerifyModule,UXBMIRStep4VerifyNoUnknown,IMPLEMENTED,NONE
AND,UXBMIRVerifyModule,UXBMIRStep4VerifyNoUnknown,IMPLEMENTED,NONE
CALL,UXBMIRVerifyModule,UXBMIRStep4VerifyNoUnknown,IMPLEMENTED,NONE
CONST,UXBMIRVerifyModule,UXBMIRStep4VerifyNoUnknown,IMPLEMENTED,NONE
DEF_TYPE,UXBMIRVerifyModule,UXBMIRStep4VerifyNoUnknown,IMPLEMENTED,NONE
DIM,UXBMIRVerifyModule,UXBMIRStep4VerifyNoUnknown,IMPLEMENTED,NONE
DIV,UXBMIRVerifyModule,UXBMIRStep4VerifyNoUnknown,IMPLEMENTED,NONE
EQ,UXBMIRVerifyModule,UXBMIRStep4VerifyNoUnknown,IMPLEMENTED,NONE
FADD,UXBMIRVerifyModule,UXBMIRStep4VerifyNoUnknown,IMPLEMENTED,NONE
FDIV,UXBMIRVerifyModule,UXBMIRStep4VerifyNoUnknown,IMPLEMENTED,NONE
FMUL,UXBMIRVerifyModule,UXBMIRStep4VerifyNoUnknown,IMPLEMENTED,NONE
FNEG,UXBMIRVerifyModule,UXBMIRStep4VerifyNoUnknown,IMPLEMENTED,NONE
FSUB,UXBMIRVerifyModule,UXBMIRStep4VerifyNoUnknown,IMPLEMENTED,NONE
GE,UXBMIRVerifyModule,UXBMIRStep4VerifyNoUnknown,IMPLEMENTED,NONE
GT,UXBMIRVerifyModule,UXBMIRStep4VerifyNoUnknown,IMPLEMENTED,NONE
JMP,UXBMIRVerifyModule,UXBMIRStep4VerifyNoUnknown,IMPLEMENTED,NONE
JNZ,UXBMIRVerifyModule,UXBMIRStep4VerifyNoUnknown,IMPLEMENTED,NONE
JZ,UXBMIRVerifyModule,UXBMIRStep4VerifyNoUnknown,IMPLEMENTED,NONE
LABEL,UXBMIRVerifyModule,UXBMIRStep4VerifyNoUnknown,IMPLEMENTED,NONE
LE,UXBMIRVerifyModule,UXBMIRStep4VerifyNoUnknown,IMPLEMENTED,NONE
LOAD_CONST,UXBMIRVerifyModule,UXBMIRStep4VerifyNoUnknown,IMPLEMENTED,NONE
LOAD_INDEXED,UXBMIRVerifyModule,UXBMIRStep4VerifyNoUnknown,IMPLEMENTED,NONE
LOAD_VAR,UXBMIRVerifyModule,UXBMIRStep4VerifyNoUnknown,IMPLEMENTED,NONE
LT,UXBMIRVerifyModule,UXBMIRStep4VerifyNoUnknown,IMPLEMENTED,NONE
MIR_ADD,UXBMIRVerifyModule,UXBMIRStep4VerifyNoUnknown,IMPLEMENTED,NONE
MIR_AND,UXBMIRVerifyModule,UXBMIRStep4VerifyNoUnknown,IMPLEMENTED,NONE
MIR_ARRAY_NEW,UXBMIRVerifyModule,UXBMIRStep4VerifyNoUnknown,IMPLEMENTED,NONE
MIR_CAST,UXBMIRVerifyModule,UXBMIRStep4VerifyNoUnknown,IMPLEMENTED,NONE
MIR_CONST,UXBMIRVerifyModule,UXBMIRStep4VerifyNoUnknown,IMPLEMENTED,NONE
MIR_EQ,UXBMIRVerifyModule,UXBMIRStep4VerifyNoUnknown,IMPLEMENTED,NONE
MIR_FADD,UXBMIRVerifyModule,UXBMIRStep4VerifyNoUnknown,IMPLEMENTED,NONE
MIR_FILE_OPEN,UXBMIRVerifyModule,UXBMIRStep4VerifyNoUnknown,IMPLEMENTED,NONE
MIR_FUNCTION_BEGIN,UXBMIRVerifyModule,UXBMIRStep4VerifyNoUnknown,IMPLEMENTED,NONE
MIR_JS_CALL,UXBMIRVerifyModule,UXBMIRStep4VerifyNoUnknown,IMPLEMENTED,NONE
MIR_LABEL,UXBMIRVerifyModule,UXBMIRStep4VerifyNoUnknown,IMPLEMENTED,NONE
MIR_LOCAL_DECL,UXBMIRVerifyModule,UXBMIRStep4VerifyNoUnknown,IMPLEMENTED,NONE
MIR_MEM_LOAD,UXBMIRVerifyModule,UXBMIRStep4VerifyNoUnknown,IMPLEMENTED,NONE
MIR_NATIVE_ONLY,UXBMIRVerifyModule,UXBMIRStep4VerifyNoUnknown,IMPLEMENTED,NONE
MIR_NOP,UXBMIRVerifyModule,UXBMIRStep4VerifyNoUnknown,IMPLEMENTED,NONE
MIR_OBJECT_NEW,UXBMIRVerifyModule,UXBMIRStep4VerifyNoUnknown,IMPLEMENTED,NONE
MIR_PRINT,UXBMIRVerifyModule,UXBMIRStep4VerifyNoUnknown,IMPLEMENTED,NONE
MIR_STR_NEW,UXBMIRVerifyModule,UXBMIRStep4VerifyNoUnknown,IMPLEMENTED,NONE
MIR_TRY_BEGIN,UXBMIRVerifyModule,UXBMIRStep4VerifyNoUnknown,IMPLEMENTED,NONE
MIR_WASM_IMPORT,UXBMIRVerifyModule,UXBMIRStep4VerifyNoUnknown,IMPLEMENTED,NONE
MOD,UXBMIRVerifyModule,UXBMIRStep4VerifyNoUnknown,IMPLEMENTED,NONE
MUL,UXBMIRVerifyModule,UXBMIRStep4VerifyNoUnknown,IMPLEMENTED,NONE
