ast_node,required_action
ALIAS_TARGET,ADD_LOWERING
BINARY,ADD_LOWERING
BLOCK,ADD_LOWERING
BOOLEAN,ADD_LOWERING
CASE_BLOCK,ADD_LOWERING
CASE_ELSE,ADD_LOWERING
CASE_IS_VALUE,ADD_LOWERING
CATCH_PART,ADD_LOWERING
CLASS_ACCESS,ADD_LOWERING
CLASS_BASE_REF,ADD_LOWERING
CLASS_DECORATOR_REF,ADD_LOWERING
CLASS_FIELD,ADD_LOWERING
CLASS_FIELD_FLAG,ADD_LOWERING
CLASS_FLAG,ADD_LOWERING
CLASS_IMPLEMENTS_REF,ADD_LOWERING
CLASS_METHOD_FLAG,ADD_LOWERING
CLASS_MIXIN_REF,ADD_LOWERING
CLASS_PROPERTY_FLAG,ADD_LOWERING
DIM_BOUNDS,ADD_LOWERING
EACH_BODY,ADD_LOWERING
EACH_ITEMS,ADD_LOWERING
ELSEIF_PART,ADD_LOWERING
ELSE_PART,ADD_LOWERING
FINALLY_PART,ADD_LOWERING
FRIEND_ITEM,ADD_LOWERING
IDENT,ADD_LOWERING
KEYWORD_REF,ADD_LOWERING
MODE_REF,ADD_LOWERING
NUMBER,ADD_LOWERING
PRINT_ITEM,ADD_LOWERING
PROGRAM,ADD_LOWERING
SLOT_HEADER_ARGS,ADD_LOWERING
STRING,ADD_LOWERING
TRY_BODY,ADD_LOWERING
TYPE_FIELD,ADD_LOWERING
TYPE_REF,ADD_LOWERING
UNARY,ADD_LOWERING
USING_ITEM,ADD_LOWERING
