opcode,verify_rule,required_action
ADD,missing_verify_rule,ADD_VERIFY_RULE
AND,missing_verify_rule,ADD_VERIFY_RULE
CALL,missing_verify_rule,ADD_VERIFY_RULE
CONST,missing_verify_rule,ADD_VERIFY_RULE
DEF_TYPE,missing_verify_rule,ADD_VERIFY_RULE
DIM,missing_verify_rule,ADD_VERIFY_RULE
DIV,missing_verify_rule,ADD_VERIFY_RULE
EQ,missing_verify_rule,ADD_VERIFY_RULE
FADD,missing_verify_rule,ADD_VERIFY_RULE
FDIV,missing_verify_rule,ADD_VERIFY_RULE
FMUL,missing_verify_rule,ADD_VERIFY_RULE
FNEG,missing_verify_rule,ADD_VERIFY_RULE
FSUB,missing_verify_rule,ADD_VERIFY_RULE
GE,missing_verify_rule,ADD_VERIFY_RULE
GT,missing_verify_rule,ADD_VERIFY_RULE
JMP,missing_verify_rule,ADD_VERIFY_RULE
JNZ,missing_verify_rule,ADD_VERIFY_RULE
JZ,missing_verify_rule,ADD_VERIFY_RULE
LABEL,missing_verify_rule,ADD_VERIFY_RULE
LE,missing_verify_rule,ADD_VERIFY_RULE
LOAD_CONST,missing_verify_rule,ADD_VERIFY_RULE
LOAD_INDEXED,missing_verify_rule,ADD_VERIFY_RULE
LOAD_VAR,missing_verify_rule,ADD_VERIFY_RULE
LT,missing_verify_rule,ADD_VERIFY_RULE
MIR_ADD,missing_verify_rule,ADD_VERIFY_RULE
MIR_AND,missing_verify_rule,ADD_VERIFY_RULE
MIR_ARRAY_NEW,missing_verify_rule,ADD_VERIFY_RULE
MIR_CAST,missing_verify_rule,ADD_VERIFY_RULE
MIR_CONST,missing_verify_rule,ADD_VERIFY_RULE
MIR_EQ,missing_verify_rule,ADD_VERIFY_RULE
MIR_FADD,missing_verify_rule,ADD_VERIFY_RULE
MIR_FILE_OPEN,missing_verify_rule,ADD_VERIFY_RULE
MIR_FUNCTION_BEGIN,missing_verify_rule,ADD_VERIFY_RULE
MIR_JS_CALL,missing_verify_rule,ADD_VERIFY_RULE
MIR_LABEL,missing_verify_rule,ADD_VERIFY_RULE
MIR_LOCAL_DECL,missing_verify_rule,ADD_VERIFY_RULE
MIR_MEM_LOAD,missing_verify_rule,ADD_VERIFY_RULE
MIR_NATIVE_ONLY,missing_verify_rule,ADD_VERIFY_RULE
MIR_NOP,missing_verify_rule,ADD_VERIFY_RULE
MIR_OBJECT_NEW,missing_verify_rule,ADD_VERIFY_RULE
MIR_PRINT,missing_verify_rule,ADD_VERIFY_RULE
MIR_STR_NEW,missing_verify_rule,ADD_VERIFY_RULE
MIR_TRY_BEGIN,missing_verify_rule,ADD_VERIFY_RULE
MIR_WASM_IMPORT,missing_verify_rule,ADD_VERIFY_RULE
MOD,missing_verify_rule,ADD_VERIFY_RULE
MUL,missing_verify_rule,ADD_VERIFY_RULE
NE,missing_verify_rule,ADD_VERIFY_RULE
NEG,missing_verify_rule,ADD_VERIFY_RULE
NEW,missing_verify_rule,ADD_VERIFY_RULE
NOT,missing_verify_rule,ADD_VERIFY_RULE
OR,missing_verify_rule,ADD_VERIFY_RULE
REDIM,missing_verify_rule,ADD_VERIFY_RULE
RET,missing_verify_rule,ADD_VERIFY_RULE
ROL,missing_verify_rule,ADD_VERIFY_RULE
ROR,missing_verify_rule,ADD_VERIFY_RULE
SETSTRINGSIZE,missing_verify_rule,ADD_VERIFY_RULE
SHL,missing_verify_rule,ADD_VERIFY_RULE
SHR,missing_verify_rule,ADD_VERIFY_RULE
STORE_INDEXED,missing_verify_rule,ADD_VERIFY_RULE
STORE_VAR,missing_verify_rule,ADD_VERIFY_RULE
SUB,missing_verify_rule,ADD_VERIFY_RULE
XOR,missing_verify_rule,ADD_VERIFY_RULE
