zip,modules,runtime_ext,tests,doc_count,script_count,bytes,sha256
UXBc_uxaimath_module(1).zip,uxaimath;uxtensor,uxaimath;uxtensor,uxaimath;uxtensor,10,2,24019,82bc784d5ee09308bb9979377fe64cea8f865f9332dd1830bab860a0ea59971e
UXBc_uxcollections_glib_core(1).zip,uxcollections,uxcollections,uxcollections,2,1,9836,5e791fc0b144e72d12308c9639c1f20c86dcc8bf2e0435a89a7341bfffd31d50
UXBc_uxdataframe_duckdb_module(1).zip,uxdataframe,uxdataframe,uxdataframe,5,1,15536,50665398ebaa525a85dc1ebcdee9f8025b535791287055780bbe5a6c18a19d4a
UXBc_uxdataset_module(1).zip,uxdataset,uxdataset,uxdataset,5,1,11344,83b56dd7510a14ef3a10f0bbfe664030f6d48d21b0f1e85ed70075ee73f7df2b
UXBc_uxgraph_igraph_module(1).zip,uxgraph,uxgraph,uxgraph,3,1,10665,cd24b73ee905a8c641d01b90cfd2e99fb55b5ded2ea435b17792e92cde519f82
UXBc_uxllama_cpu_text_module(1).zip,uxllama;uxllamax,uxllama,uxllama,6,1,16283,0b6700fbdb5519f66ca6af058257237a86677d2fbefa61f71dc2a1e6e6bbcf45
UXBc_uxmath_ai_prompt1_math_core(1).zip,uxmath,uxmath,uxmath,3,1,12808,acdf55c43faaec74512294257b7da8ca6745188c35eb80ae255d3d7222a5db70
UXBc_uxmathcore_1A_corrected(1).zip,uxmath;uxmathcore,uxmathcore,uxmathcore,2,1,13293,0e79203c517c8ace35cf6bef995b6e64fdda5bff314eb4c44aa9bc074b5ea1f0
UXBc_uxmatrix_openblas_module(1).zip,uxmatrix,uxmatrix,uxmatrix,3,1,13335,bac2027b588318a9e9c8e6a2c5751da3b7fbe32408c100b69474fc100b2e5c4a
UXBc_uxnn2_training_module(1).zip,uxnn2,uxnn2,uxnn2,4,1,10835,f018c4420e11d993a4965e244e968df976219758644056b541ca4a747320b17d
UXBc_uxnn3_dataset_training_module(1).zip,uxnn3,uxnn3,uxnn3,5,1,14760,148363dd8246b2b7e7b9eff1c5abbde989fa89e90ca1470b1b8dd58e73a33afc
UXBc_uxnn_module(1).zip,uxaimath;uxnn;uxtensor,uxaimath;uxnn;uxtensor,uxaimath;uxnn;uxtensor,15,3,35409,24a06ded2f8ec435b0c2c90a63b1e1cc5a7eb2728e9068e0b4650c570fff54ef
UXBc_uxonnx2_advanced_runtime_module(1).zip,uxonnx2,uxonnx2,uxonnx2,5,1,15260,5f66963fa2490cc3d762bafe075129578ef1df8b2c20ca667222eced6fb07c00
UXBc_uxonnx_module(1).zip,uxonnx,uxonnx,uxonnx,5,1,12868,3c84ce57b863d6935c3067588cb47b6dc288b0fd31c7a58d8c57a4663afe9abb
UXBc_uxstats2_advanced_module(1).zip,uxstats,uxstats2,uxstats2,2,1,12663,38d28b99da2830067b451358726a05adb394e9af7a0e17ea255a3bf302c494e1
UXBc_uxstats_standard_module(1).zip,uxstats,uxstats,uxstats,2,1,12119,631f99fac377a4f7d03d1fc44cb8291ea547e819a8bffc8b6a7cd1dbbe7f4990
UXBc_uxtensor_openblas_module(1).zip,uxtensor,uxtensor,uxtensor,5,1,14686,fc3e3c070b1ea222c367784fc69352be3bc3f92eabd4a5ec4c8782823b195f7b
