alias,canonical,notes
PARALEL,PARALEL,parser canonical form
SIHIRLIMETHOD,MAGIC,magic method Turkish canonical
THREA,THREAD,common typo
THREAD,THREAD,common typo from matrix
EGER,IF,Turkish keyword overlay
DEGILSE,ELSE,Turkish keyword overlay
YOKSA,ELSE,Turkish keyword overlay
SON,END,Turkish keyword overlay
YAZDIR,PRINT,Turkish keyword overlay
DONGU,LOOP,Turkish keyword overlay
KADAR,UNTIL,Turkish keyword overlay
FONKSIYON,FUNCTION,Turkish keyword overlay
ALTYORDAM,SUB,Turkish keyword overlay
GIRIS,INPUT,Turkish keyword overlay
CIKIS,EXIT,Turkish keyword overlay

