path,kind,notes
uxb/compiler/hooks/uxb_global_noop_hook.fbs,hook,global no-op hook include point
uxb/compiler/hooks/uxb_ast_hook.fbs,hook,ast layer hook include point
uxb/compiler/hooks/uxb_hir_hook.fbs,hook,hir layer hook include point
uxb/compiler/hooks/uxb_mir_hook.fbs,hook,mir layer hook include point
uxb/compiler/hooks/uxb_runtime_hook.fbs,hook,runtime layer hook include point
uxb/compiler/hooks/uxb_codegen_hook.fbs,hook,codegen layer hook include point
uxb/compiler/wrappers/uxb_ast_bundle_wrapper.fbs,wrapper,ast parser bundle wrapper
uxb/compiler/wrappers/uxb_hir_bundle_wrapper.fbs,wrapper,hir bundle wrapper
uxb/compiler/wrappers/uxb_mir_bundle_wrapper.fbs,wrapper,mir bundle wrapper
uxb/compiler/wrappers/uxb_runtime_bundle_wrapper.fbs,wrapper,runtime bundle wrapper
uxb/compiler/wrappers/uxb_codegen_bundle_wrapper.fbs,wrapper,codegen bundle wrapper
uxb/compiler/wrappers/uxb_frontend_bundle_wrapper.fbs,wrapper,frontend include bundle wrapper
uxb/compiler/wrappers/uxb_main_wrapper.bas,wrapper,main compiler overlay entry
uxb/compiler/scripts/build_uxb_main_64.bat,script,uxb wrapper build runner
uxb/compiler/scripts/run_layer_json.ps1,script,layer-selectable json export runner
uxb/compiler/scripts/uxb_switchboard.ps1,script,multi-mode compiler switchboard runner
uxb/tests/manifests/uxb_test_tree_manifest.csv,manifest,uxb test tree baseline index
uxb/tests/README.md,manifest,canonical test root and compatibility model
