"feature","D","P","S","R","T","tests_ref_count","tests_missing_count","src_token_hit","src_token","status","phase"
"PRINT","OK","OK","OK","OK","OK","0","0","1","NT","TUTARLI","R1"
"INPUT","OK","OK","OK","OK","OK","2","0","1","NPUT","TUTARLI","R1"
"IF / ELSEIF / ELSE / END IF","OK","OK","OK","OK","OK","2","0","1","IF_STMT|ELSEIF_PART|ParseIfStmt|\bIF\b","TUTARLI","R1"
"SELECT CASE / CASE / CASE ELSE / END SELECT","OK","OK","OK","OK","OK","2","0","1","SELECT","TUTARLI","R1"
"CASE IS","OK","OK","OK","OK","OK","0","0","1","CASE_IS_VALUE|ParseCaseIsRelOp|\bCASE\s+IS\b","TUTARLI","R1"
"EXIT FOR","OK","OK","OK","OK","OK","0","0","1","EX","TUTARLI","B2 tamam"
"EXIT DO","OK","OK","OK","OK","OK","0","0","1","EX","TUTARLI","B2 tamam"
"EXIT IF","OK","OK","OK","OK","OK","1","0","1","EX","TUTARLI","R1"
"FOR / NEXT","OK","OK","OK","OK","OK","0","0","1","FOR","TUTARLI","B2 tamam"
"FOR EACH / NEXT","OK","OK","OK","OK","OK","0","0","1","FOR","TUTARLI","B2 tamam"
"DO / LOOP","OK","OK","OK","OK","OK","0","0","1","DO","TUTARLI","B2 tamam"
"DO EACH / LOOP","OK","OK","OK","OK","OK","0","0","1","DO","TUTARLI","B2 tamam"
"GOTO","OK","OK","OK","OK","OK","0","0","1","GOTO","TUTARLI","R2"
"GOSUB","OK","OK","OK","OK","OK","0","0","1","GOSUB","TUTARLI","R2"
"RETURN","OK","OK","OK","OK","OK","0","0","1","RETURN","TUTARLI","R2"
"CALL","OK","OK","OK","OK","OK","0","0","1","CALL","TUTARLI","R2"
"END","OK","OK","OK","OK","OK","0","0","1","END_STMT|ParseEndStmt|ExecRun.*END","TUTARLI","R2.M"
"TRY/CATCH/FINALLY/END TRY","OK","OK","OK","OK","OK","1","0","1","TRY","TUTARLI","ERR-1"
"THROW","OK","OK","OK","OK","OK","1","0","1","THROW","TUTARLI","ERR-1"
"ASSERT","OK","OK","OK","OK","OK","1","0","1","ASSERT","TUTARLI","ERR-2"
"DECLARE SUB/FUNCTION","OK","OK","OK","OK","OK","0","0","1","DECLARE","TUTARLI","R2"
"SUB / FUNCTION","OK","OK","OK","OK","OK","2","0","1","SUB","TUTARLI","R2"
"CONST","OK","OK","OK","OK","OK","2","0","1","CONST","TUTARLI","R3"
"DIM","OK","OK","OK","OK","OK","0","0","1","DIM_STMT|DIM_DECL|ParseDimStmt|ParseDimDeclarator","TUTARLI","R3.N"
"REDIM","OK","OK","OK","OK","OK","1","0","1","RED","TUTARLI","R3.N"
"TYPE","OK","OK","OK","OK","OK","0","0","1","TYPE","TUTARLI","B2 tamam"
"CLASS","OK","OK","OK","OK","OK","0","0","1","CLASS","TUTARLI","R3"
"DEFINT/DEFLNG/DEFSNG/DEFDBL/DEFEXT/DEFSTR/DEFBYT","OK","OK","OK","OK","OK","1","0","1","DEF","TUTARLI","R3"
"SETSTRINGSIZE","OK","OK","OK","OK","OK","1","0","1","SETSTR","TUTARLI","R3"
"FLOATING POINT","OK","OK","OK","OK","OK","1","0","1","FLOAT","TUTARLI","R4"
"INCLUDE","OK","OK","OK","OK","OK","2","0","1","NCLUDE","TUTARLI","R3"
"IMPORT(C/CPP/ASM, file)","OK","OK","OK","OK","OK","2","0","1","MPORT","TUTARLI","FFI-1"
"INLINE(...) ... END INLINE","OK","OK","OK","OK","OK","2","0","1","NL","TUTARLI","FFI-2"
"OPEN","OK","OK","OK","OK","OK","0","0","1","OPEN","TUTARLI","B2 tamam"
"CLOSE","OK","OK","OK","OK","OK","0","0","1","CLOSE","TUTARLI","B2 tamam"
"GET","OK","OK","OK","OK","OK","0","0","1","GET","TUTARLI","B2 tamam"
"PUT","OK","OK","OK","OK","OK","0","0","1","PUT","TUTARLI","B2 tamam"
"SEEK","OK","OK","OK","OK","OK","0","0","1","SEEK","TUTARLI","B2 tamam"
"LOCATE","OK","OK","OK","OK","OK","0","0","1","LOCATE","TUTARLI","R1"
"COLOR","OK","OK","OK","OK","OK","0","0","1","COLOR","TUTARLI","R1"
"CLS","OK","OK","OK","OK","OK","0","0","1","CLS","TUTARLI","R1"
