code;class;message;source
;;[BILGI] TR: Islenen komut: python uxb\tools\uxb_differential_project_runner.py "uxb/tests/run_call_api_unsupported_exec_ast__dup1.bas" --project default | EN: Processing command: python uxb\tools\uxb_differential_project;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\step6\logs\uxb_tests_run_call_api_unsupported_exec_ast__dup1.bas.log
;;[ERROR] [ast_interpreter] TR: Katman basarisiz: FAIL | EN: Layer failed: FAIL;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\step6\logs\uxb_tests_ast_ast_contract_manual_probe.bas.log
;;[ERROR] [mir_interpreter] TR: Katman basarisiz: FAIL | EN: Layer failed: FAIL;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\step6\logs\uxb_tests_ast_ast_contract_manual_probe.bas.log
;;[ERROR] [mir_x64_asm] TR: Katman basarisiz: FAIL | EN: Layer failed: FAIL;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\step6\logs\uxb_tests_ast_ast_contract_manual_probe.bas.log
;;[ERROR] [x64_ast_asm] TR: Katman basarisiz: FAIL | EN: Layer failed: FAIL;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\step6\logs\uxb_tests_ast_ast_contract_manual_probe.bas.log
;;[WARN][AST_INTERPRETER] UXB_AST_INTERPRETER_FAILED: exec: Expression: Tanımlanmamış değişken: RND;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][AST_INTERPRETER] UXB_AST_INTERPRETER_FAILED: exec: INPUT# failed (7006) mode not readable;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][AST_INTERPRETER] UXB_AST_INTERPRETER_FAILED: exec: OPEN failed (7012) file not found;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][AST_INTERPRETER] UXB_AST_INTERPRETER_FAILED: exec: PRINT# mode not writable;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][AST_INTERPRETER] UXB_AST_INTERPRETER_FAILED: exec: unsupported call LEFT;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
